LastComm	LastUpdate	N_Bikes	N_Empty
1447722032496	1447722030698	9	4
1447723762147	1447723760218	10	3
1447727518192	1447727517297	9	4
1447733419996	1447733418735	8	5
1447759353813	1447759351976	9	4
1447765307542	1447765305377	10	3
1447766093137	1447766090897	11	2
1447766426113	1447766423852	12	1
1447766662937	1447766660657	13	0
1447767418845	1447767418521	12	1
1447767905959	1447767904954	13	0
1447770211454	1447770210954	12	0
1447770269388	1447770268626	8	4
1447770308440	1447770307966	6	6
1447770356620	1447770356136	4	8
1447771696772	1447771695589	5	7
1447772737560	1447772734994	6	6
1447773644829	1447773643484	7	5
1447774980570	1447774979502	6	6
1447777329301	1447777327824	7	5
1447777641458	1447777639875	8	4
1447778912042	1447778910464	9	3
1447780761582	1447780759695	10	2
1447784376066	1447784318686	10	3
1447785759359	1447785759004	9	4
1447786134535	1447786133466	10	3
1447787837578	1447787836801	11	2
1447791867977	1447791867100	10	3
1447793973165	1447793971710	11	2
1447794493008	1447794491651	10	3
1447794690438	1447794688920	11	2
1447795182621	1447795181750	10	3
1447796131086	1447796129798	9	4
1447796517873	1447796516270	11	2
1447796618098	1447796616169	12	1
1447798343247	1447798342201	11	2
1447798364756	1447798363248	10	3
1447799473662	1447799473389	11	2
1447801445693	1447801444673	12	1
1447803867941	1447803867369	11	2
1447804709560	1447804708298	12	1
1447806324859	1447806323928	11	2
1447806641559	1447806640923	10	3
1447809647912	1447809646344	11	2
1447813977857	1447813976571	12	1
1447814964811	1447814964105	11	2
1447817803244	1447817801707	10	3
1447825351235	1447825349943	9	4
1447844871779	1447844870882	8	5
1447847535556	1447847533725	9	4
1447851125983	1447851124354	10	3
1447851758505	1447851756570	11	2
1447853168682	1447853167268	11	2
1447854032289	1447854030575	12	1
1447858857361	1447858856260	13	0
1447858962982	1447858961870	12	1
1447860256723	1447860254955	13	0
1447861705060	1447861702337	13	0
1447861729626	1447861727697	12	1
1447869248343	1447869246641	11	2
1447869316508	1447869314145	12	1
1447871430160	1447871429839	11	3
1447871469312	1447871468989	11	4
1447871555184	1447871552285	9	6
1447872044791	1447872044417	8	7
1447872350916	1447872349887	9	6
1447873562392	1447873561935	8	7
1447875343418	1447875342337	7	8
1447875423354	1447875422052	8	7
1447876389119	1447876388404	7	8
1447876524674	1447876523366	6	9
1447876555684	1447876543319	7	7
1447876705124	1447876703563	7	8
1447877007046	1447877003588	4	8
1447877457363	1447877456517	3	9
1447877524903	1447877524215	3	10
1447879346037	1447879344606	4	9
1447879563469	1447879562075	5	8
1447880080269	1447880078794	6	7
1447880171027	1447880170194	6	7
1447881003787	1447881002225	7	6
1447881850649	1447881829845	7	7
1447882069923	1447882068683	6	8
1447883140922	1447883139753	5	9
1447883370423	1447883369386	6	8
1447883848803	1447883847751	5	9
