LastComm	LastUpdate	N_Bikes	N_Empty
1447448702289	1447444261847	6	12
1447451964909	1447451963248	7	11
1447452274350	1447452272663	8	10
1447452582709	1447452580919	9	9
1447452785807	1447452784759	8	10
1447455265652	1447455263838	9	9
1447456020604	1447456018619	10	8
1447456193523	1447456192113	9	9
1447457775583	1447457773548	10	8
1447458401221	1447458399856	9	9
1447459583805	1447459581729	10	8
1447459922823	1447459920728	11	7
1447462429740	1447462428887	12	6
1447476141085	1447476139518	10	8
1447481912258	1447481910337	11	7
1447483323679	1447483319500	11	7
1447483447387	1447483445397	12	6
1447511353172	1447511352477	11	7
1447512242534	1447512241794	10	8
1447512297870	1447512297125	9	9
1447513529558	1447513528068	10	8
1447514896320	1447514895432	9	9
1447517024249	1447517022647	10	8
1447517768418	1447517766737	10	8
1447520649313	1447520647958	11	7
1447521129943	1447521129193	10	8
1447522795797	1447522794237	11	7
1447523153851	1447523152317	12	6
1447524740780	1447524739164	13	5
1447525274486	1447525272817	14	4
1447526826602	1447526824867	15	3
1447526947553	1447526946394	14	4
1447528754165	1447528752936	13	5
1447529750808	1447529748988	11	7
1447529809454	1447529807579	9	9
1447529837938	1447529836059	8	10
1447529906241	1447529904220	6	12
1447529942183	1447529940349	5	13
1447531267801	1447531265510	5	13
1447531275271	1447531273904	4	14
1447533154228	1447533152799	5	13
1447537081408	1447537080465	4	14
1447541244021	1447541242836	3	15
1447546161963	1447546159758	4	14
1447546515663	1447546513902	6	12
1447546567652	1447546565522	9	9
1447546625028	1447546623013	12	6
1447553633865	1447553632565	11	7
1447554134062	1447554132565	10	8
1447554280550	1447554278638	11	7
1447556390585	1447556389254	10	8
1447560201851	1447560199740	11	7
