LastComm	LastUpdate	N_Bikes	N_Empty
1447448820894	1447445661083	13	6
1447450164970	1447450162874	12	7
1447450820651	1447450820336	11	8
1447452109150	1447452108765	10	9
1447452351170	1447452350087	11	8
1447452711524	1447452681418	12	7
1447452778489	1447452777733	12	7
1447452939651	1447452939212	11	8
1447453101277	1447453100147	12	7
1447453216566	1447453216133	11	8
1447453350881	1447453350455	10	9
1447453647527	1447453646499	9	10
1447454037650	1447454036468	10	9
1447454197587	1447454197094	11	8
1447454394818	1447454393657	12	7
1447454563916	1447454563366	11	8
1447456423577	1447456422287	12	7
1447456944200	1447456943522	11	8
1447457018047	1447457017380	10	9
1447457423959	1447457422888	9	10
1447457472401	1447457471702	8	11
1447458181158	1447458180405	7	12
1447458764057	1447458762612	8	11
1447460131605	1447460130705	7	12
1447461102874	1447461101943	6	13
1447462149935	1447462148263	7	12
1447464256013	1447464254462	9	10
1447464671958	1447464669743	8	11
1447466100341	1447466331649	7	12
1447468512138	1447468511704	6	13
1447468928593	1447468927501	5	14
1447468954968	1447468954514	5	14
1447470054340	1447470053117	6	13
1447473990947	1447473989605	5	14
