LastComm	LastUpdate	N_Bikes	N_Empty
1447449037455	1447448191034	6	5
1447449547989	1447449546564	5	6
1447450351995	1447450349419	5	6
1447450423344	1447450421846	5	6
1447450865189	1447450862993	6	5
1447452265436	1447452263249	7	4
1447452373077	1447452371498	8	3
1447452539812	1447452537818	9	2
1447453183184	1447453179659	10	1
1447453296705	1447453295014	9	2
1447458718325	1447458717840	10	1
1447460005088	1447460004437	9	2
1447460394729	1447460393448	10	1
1447462333690	1447462332571	9	2
1447465360138	1447465358518	10	1
1447469845616	1447469844346	9	2
1447470083377	1447470079798	10	1
1447483321718	1447483318743	10	1
1447485787836	1447485786850	9	2
1447486611286	1447486606648	9	2
1447486613334	1447486612307	8	3
1447509880781	1447509878977	7	4
1447512669001	1447512667381	8	3
1447517244771	1447517242997	8	2
1447519109533	1447519108255	9	1
1447521584080	1447521582237	9	1
1447521589199	1447521587373	8	2
1447524702255	1447524700566	7	3
1447527331616	1447527329773	6	4
1447528496793	1447528494861	5	5
1447532685061	1447532684043	4	6
1447538197127	1447538196074	3	7
1447538436148	1447538435017	4	6
1447545852671	1447545851591	5	5
1447546729382	1447546727891	6	4
1447549248393	1447549246866	7	3
1447551534626	1447551526430	8	2
1447551556292	1447551554525	7	3
1447557457701	1447557456196	6	4
1447562111699	1447562110524	5	5
