LastComm	LastUpdate	N_Bikes	N_Empty
1447721419710	1447721418341	11	16
1447727656648	1447727653897	12	15
1447730384594	1447730382377	13	14
1447730989012	1447730987467	12	15
1447736441015	1447736439591	13	14
1447738233216	1447738231745	14	13
1447762252308	1447762250615	15	12
1447764707944	1447764706315	16	11
1447765067094	1447765066016	15	12
1447765220599	1447765219531	14	13
1447765653855	1447765652756	13	14
1447768424435	1447768422602	11	16
1447768830432	1447768829142	10	17
1447769626414	1447769624588	9	18
1447770738496	1447770736509	8	19
1447775372083	1447775369815	9	18
1447776551778	1447776550044	8	19
1447782604742	1447782603994	7	20
1447783846650	1447783845735	6	21
1447784281537	1447784280107	7	20
1447788040514	1447788038967	8	19
1447788390327	1447788388663	9	18
1447790498732	1447790497448	8	19
1447793174447	1447793173442	10	17
1447793248492	1447793247583	13	14
1447793318953	1447793317848	14	13
1447795645934	1447795644868	15	12
1447796068335	1447796067795	14	13
1447797655705	1447797654498	15	12
1447799636269	1447799635562	14	13
1447800401793	1447800400159	15	12
1447803142109	1447803141197	14	13
1447803274416	1447803273486	13	14
1447808096323	1447808094901	14	13
1447808948423	1447808947578	13	14
1447813652661	1447813650842	14	13
1447814019132	1447814017022	14	13
1447814024355	1447814023195	13	14
1447814663057	1447814661889	12	15
1447815768741	1447815766840	13	14
1447818694559	1447818693112	12	15
1447820012484	1447820009932	11	16
1447824936574	1447824934757	12	15
1447826966719	1447826965464	11	16
1447829053127	1447829035003	11	16
1447847304835	1447847302823	11	16
1447847308498	1447847307372	10	17
1447851538106	1447851537410	9	18
1447852117894	1447852117164	8	19
1447853947963	1447853946729	7	20
1447854189144	1447854187950	6	21
1447855383380	1447855382107	7	20
1447856332549	1447856330898	8	19
1447859556481	1447859554658	9	18
1447860395855	1447860394577	8	19
1447861556787	1447861554788	9	18
1447862397932	1447862395908	9	18
1447867468363	1447867467458	8	19
1447873208907	1447873206872	9	18
1447874235997	1447874234647	8	19
1447874979180	1447874977142	9	18
1447878012711	1447878011068	8	19
1447879829444	1447879827346	7	20
1447881548099	1447881546823	9	18
1447881750804	1447881749418	10	17
1447882375540	1447882374083	11	16
1447882971811	1447882971011	10	17
1447887032924	1447887031908	9	18
1447888745079	1447888743897	8	19
1447888791589	1447888790461	7	20
1447889964656	1447889963119	9	18
1447890017250	1447890015684	13	14
1447890063417	1447890061563	16	11
1447894156375	1447894154893	15	12
1447909888074	1447909886829	16	11
1447913256500	1447913255695	15	12
1447925600732	1447925599147	16	11
1447937979501	1447937978645	15	12
1447938440796	1447938439896	14	13
1447939806986	1447939806011	13	14
1447940495588	1447940494523	12	15
1447941387420	1447941361296	11	16
1447942983612	1447942981827	12	15
1447945713268	1447945711906	11	16
1447946215338	1447946198235	12	15
1447949710246	1447949707966	13	14
1447952045798	1447952043977	12	15
1447952183200	1447952181414	11	16
1447955070794	1447955069219	12	15
1447956197662	1447956195821	13	14
1447957268380	1447957267272	12	15
1447959124683	1447959123452	11	16
1447962136494	1447962134468	12	15
1447968343362	1447968342327	13	14
1447968801019	1447968793280	13	14
1447968821990	1447968821143	12	15
1447970282333	1447970281242	13	14
1447972184245	1447972183018	14	13
1447979591077	1447979589973	13	14
1447979993026	1447979991942	12	15
1447986274308	1447986272631	13	14
1447996597689	1447996596163	14	13
1448000970426	1448000968936	13	14
1448001907943	1448001890841	13	14
1448023640896	1448023639777	14	13
1448024824905	1448024823528	13	14
1448024829452	1448024829115	12	15
1448027406967	1448027406449	11	16
1448027478943	1448027477806	12	15
1448028204731	1448028204179	11	16
1448030194800	1448030194115	10	17
1448031315587	1448031314832	9	18
1448032084349	1448032083193	8	19
1448040052805	1448040051756	7	20
1448044505933	1448044503871	9	18
1448044565418	1448044563411	13	14
1448046050336	1448046048134	12	15
1448046095377	1448046093290	11	16
1448051907326	1448051905160	11	16
1448052039358	1448052037532	10	17
1448054765697	1448054765052	10	17
1448055100080	1448055099780	9	18
1448055793976	1448055793636	8	19
1448056225646	1448056225186	10	17
1448060441694	1448060441041	9	18
1448066543460	1448066542423	8	19
1448099738263	1448099737349	7	20
1448131668568	1448131666577	8	19
1448134876965	1448134875406	7	20
1448135597753	1448135595446	8	19
1448151428854	1448151427377	7	20
1448155026237	1448155023841	7	20
1448155031197	1448155030807	6	21
1448157586539	1448157585386	5	22
1448174755405	1448174740059	5	22
1448194994294	1448194993246	4	23
1448207776582	1448207774705	3	24
1448210221690	1448210219527	4	23
1448212951034	1448212950130	5	22
1448227934988	1448227933269	6	21
1448227994385	1448227992769	8	19
1448228059218	1448228057513	10	17
1448228121284	1448228119542	13	14
1448228163671	1448228162117	15	12
1448228228980	1448228227012	18	9
1448228301219	1448228299532	21	6
1448232694309	1448232692377	22	5
1448232736079	1448232734705	21	6
1448259324182	1448259322426	22	5
1448282909549	1448282908589	21	6
1448283377495	1448283375919	22	5
1448284397403	1448284396376	21	6
1448285311510	1448285311131	20	7
1448286814912	1448286814090	19	8
1448287063501	1448287062297	20	7
1448287476101	1448287474621	19	8
1448289618917	1448289618259	18	9
1448290672497	1448290671776	17	10
1448292929525	1448292927484	17	10
1448292935051	1448292934194	16	11
1448297066005	1448297064865	15	12
1448307377497	1448307375891	14	13
1448310512856	1448310511871	13	14
1448311359929	1448311358252	14	13
1448311597936	1448311596182	15	12
1448312966366	1448312965200	14	13
1448313907522	1448313905653	14	13
1448314499450	1448314497701	13	14
1448314934182	1448314932597	14	13
1448317264466	1448317263253	13	14
1448319187916	1448319186127	14	13
1448319936203	1448319934975	13	14
1448320245519	1448320243578	14	13
1448323436002	1448323433867	15	12
1448325071355	1448325069793	14	13
1448326412679	1448326411034	13	14
1448331629927	1448331628363	14	13
1448333686814	1448333685627	15	12
1448343570881	1448343569967	14	13
1448343945268	1448343943678	15	12
1448345272800	1448345270861	15	12
1448345306868	1448345303651	15	12
1448345405044	1448345403361	15	12
1448345733238	1448345731191	15	12
1448345839824	1448345838601	14	13
1448347617277	1448347594583	14	13
1448367963246	1448367960620	14	13
1448367966569	1448367965186	13	14
1448370438744	1448370436120	13	14
1448370447038	1448370445496	12	15
1448373024087	1448373022656	11	16
1448373529126	1448373527318	12	15
1448374586028	1448374584507	11	16
1448374627073	1448374625198	12	15
1448374799144	1448374797238	13	14
1448375396493	1448375395233	13	14
1448376300608	1448376299295	12	15
1448377484184	1448377482168	13	14
1448382653294	1448382650737	14	13
1448383535353	1448383532998	15	12
1448385624740	1448385581072	15	12
1448386863060	1448386831452	15	12
1448388774981	1448388713262	15	11
1448388910404	1448388898504	14	11
1448389322820	1448389321123	14	12
1448398308710	1448398307402	13	13
1448398699652	1448398698334	12	14
1448398938527	1448398936484	13	13
1448400295978	1448400294184	15	11
1448401492987	1448401490835	16	10
1448402300480	1448402298233	17	9
1448403589782	1448403589387	16	10
1448405236691	1448405231634	16	10
1448405236691	1448405236185	15	11
