LastComm	LastUpdate	N_Bikes	N_Empty
1447721887310	1447721786225	9	18
1447722822566	1447722821751	8	19
1447722971255	1447722970933	7	20
1447731482136	1447731481160	6	21
1447761906718	1447761905809	6	21
1447763210649	1447763208951	7	20
1447765597297	1447765595441	8	19
1447766524135	1447766522400	9	18
1447767073863	1447767072026	10	17
1447767538431	1447767536495	11	16
1447768139794	1447768138260	10	17
1447768397953	1447768396030	11	16
1447768746985	1447768745029	14	13
1447769150572	1447769148621	15	12
1447769297822	1447769295609	16	11
1447769569804	1447769567719	17	10
1447769927322	1447769925299	18	9
1447770199517	1447770197394	19	8
1447770266148	1447770264169	20	7
1447770562481	1447770560811	19	8
1447771292482	1447771290385	20	7
1447771512465	1447771510405	21	6
1447771941183	1447771939722	20	7
1447772635936	1447772633719	21	6
1447772918174	1447772902129	21	6
1447773733662	1447773731489	22	5
1447775437859	1447775435926	21	6
1447778915095	1447778914228	20	7
1447780137142	1447780135518	21	6
1447782750533	1447782749438	20	7
1447783681149	1447783679287	21	6
1447784557583	1447784556378	22	5
1447784956557	1447784954630	24	3
1447785917854	1447785915887	25	2
1447786663180	1447786661247	26	3
1447786710130	1447786708539	26	6
1447786743962	1447786741907	27	5
1447787858335	1447787856307	28	4
1447789996982	1447789995207	27	5
1447790181890	1447790179727	28	4
1447792854249	1447792852750	29	3
1447793797390	1447793795755	30	2
1447794797532	1447794796467	30	2
1447795580745	1447795579722	29	3
1447796241506	1447796239825	28	4
1447797111537	1447797109840	27	5
1447798271751	1447798270541	26	6
1447798295703	1447798292050	27	5
1447798469287	1447798461412	26	6
1447798524461	1447798522243	26	6
1447798535239	1447798533468	25	7
1447799438668	1447799436283	26	6
1447799443074	1447799441481	25	7
1447799960322	1447799958683	24	8
1447800492676	1447800490611	25	7
1447800664124	1447800662116	24	8
1447800759683	1447800757770	25	7
1447801275357	1447801274006	24	8
1447802006272	1447802004170	25	7
1447802310099	1447802307961	26	6
1447802580820	1447802579385	25	7
1447803690287	1447803688797	24	8
1447804705276	1447804702991	25	7
1447806020392	1447806019692	24	8
1447806068761	1447806068115	23	9
1447807986224	1447807985481	22	10
1447808141484	1447808140732	21	11
1447808811149	1447808810352	20	12
1447809121156	1447809119709	19	13
1447809890431	1447809888929	20	12
1447810222724	1447810221184	21	11
1447810638911	1447810637325	22	10
1447816061129	1447816059284	23	9
1447817466295	1447817464448	24	8
1447822651871	1447822650981	23	9
