LastComm	LastUpdate	N_Bikes	N_Empty
1447721488976	1447720285499	13	10
1447723151290	1447723149496	14	9
1447726322197	1447726320196	15	8
1447729121690	1447729119586	16	7
1447742609209	1447742605275	16	7
1447761296868	1447761277171	15	8
1447762154211	1447762153141	14	9
1447762189167	1447762187808	15	8
1447762281884	1447762280258	15	8
1447762285582	1447762284658	14	9
1447765202553	1447765201654	13	10
1447767162218	1447767160991	14	9
1447770552488	1447770551151	15	8
1447770652458	1447770651788	14	9
1447773894376	1447773893529	13	10
1447775914466	1447775913511	12	11
1447779391750	1447779375491	13	10
1447782553598	1447782553146	12	11
1447783844337	1447783843846	11	12
1447785926994	1447785926398	10	13
1447791691867	1447791690168	11	12
1447793367346	1447793365627	12	11
1447794540568	1447794539494	11	12
1447795954419	1447795952822	10	13
1447797960144	1447797958488	11	12
1447798565972	1447798564634	10	13
1447799537957	1447799536859	11	12
1447799927738	1447799926628	10	13
1447800074111	1447800072228	11	12
1447800566159	1447800564339	12	11
1447800827431	1447800825539	13	10
1447800986201	1447800984309	14	9
1447801262475	1447801260569	15	8
1447801553031	1447801551837	14	9
1447801795931	1447801793619	14	9
1447801801410	1447801800173	13	10
1447802593812	1447802546443	13	10
1447803039547	1447803038866	12	11
1447804899364	1447804898588	11	12
1447806596344	1447806595469	10	13
1447807031668	1447807030685	9	14
1447808149295	1447808147660	10	13
1447809695125	1447809693282	11	12
1447810043330	1447810041511	12	11
1447811579335	1447811578174	11	12
1447812183088	1447812181856	10	13
1447816173845	1447816172434	10	12
1447820101979	1447820100182	11	11
1447849037411	1447849036111	12	10
1447849260659	1447849260089	11	11
1447850765934	1447850764431	12	10
1447852116121	1447852114676	13	9
1447852575108	1447852574191	12	10
1447853827826	1447853826667	10	12
1447853995065	1447853994228	9	13
1447854891936	1447854891019	8	14
1447857317066	1447857315123	9	13
1447857795888	1447857794447	8	14
1447858276704	1447858274548	7	15
1447859809981	1447859808546	7	14
1447863369014	1447863367936	6	15
1447867538575	1447867537262	5	16
1447869545105	1447869543680	4	17
1447872211428	1447872209866	4	18
1447872286232	1447872284650	8	14
1447872348674	1447872346366	11	11
1447872383017	1447872381420	11	11
1447875788357	1447875787267	10	12
1447875870417	1447875869429	9	13
1447876598485	1447876596670	10	12
1447877071198	1447877069915	9	13
1447879527652	1447879525765	10	12
1447882195549	1447882164637	9	13
1447886343817	1447886342232	8	14
1447886875968	1447886873391	8	14
1447886879408	1447886877792	7	15
1447886960602	1447886958350	8	14
1447887772257	1447887769968	9	13
1447887864915	1447887862589	10	12
1447890642314	1447890641193	11	11
1447891345197	1447891344644	10	12
1447891804294	1447891803743	9	13
1447894567191	1447894566540	8	14
1447895390212	1447895389510	6	16
1447896359052	1447896358286	8	14
1447896439686	1447896438348	9	13
1447897127554	1447897125947	10	12
1447915466912	1447915462923	10	12
1447933850459	1447933850098	9	13
1447934772266	1447934771856	8	14
1447936512492	1447936511971	7	15
1447937323668	1447937322476	8	14
1447937381678	1447937380471	10	12
1447937428633	1447937427436	12	10
1447937515233	1447937514000	15	7
1447937651580	1447937650385	16	6
1447938061486	1447938060891	15	7
1447938588477	1447938587853	14	8
1447938745796	1447938745157	13	9
1447939844119	1447939843413	12	10
1447940059279	1447940057946	13	9
1447940281736	1447940280720	12	10
1447941865522	1447941864077	13	9
1447943421766	1447943394456	14	8
1447944169101	1447944168166	14	8
1447944692187	1447944691172	13	9
1447946098914	1447946097850	12	10
1447947863852	1447947862793	11	11
1447960260410	1447960258655	10	12
1447963643338	1447963642253	9	13
1447964516139	1447964515117	9	12
1447967075038	1447967073232	10	11
1447967227422	1447967226263	9	12
1447968543920	1447968542117	10	11
1447969474564	1447969473326	9	12
1447972492430	1447972491023	8	13
1447973249947	1447973248491	7	14
1447973487077	1447973485604	6	15
1447973629904	1447973628361	6	14
1447975257706	1447975255457	7	13
1447975327904	1447975325570	8	12
1447975625845	1447975623944	6	13
1447975642356	1447975640017	7	12
1447976183349	1447976180777	7	12
1447976186813	1447976185196	6	13
1447979124795	1447979124225	5	14
1447983172043	1447983170951	4	15
1447985615898	1447985614157	5	14
