LastComm	LastUpdate	N_Bikes	N_Empty
1447721628105	1447721626258	5	9
1447723446514	1447723444309	6	8
1447726817735	1447726817101	5	9
1447758130203	1447758129174	4	10
1447764241669	1447764240138	5	9
1447764330967	1447764330129	6	8
1447765632400	1447765631128	5	9
1447766454951	1447766454001	4	10
1447767878404	1447767878065	3	11
1447768332576	1447768330859	3	11
1447768375433	1447768375064	2	12
1447769696353	1447769695265	3	11
1447770226449	1447770225928	5	9
1447771426181	1447771425603	4	10
1447773466158	1447773465487	3	11
1447779087658	1447779086018	4	10
1447779903189	1447779901378	5	9
1447788305144	1447788303138	6	8
1447789663726	1447789662264	5	9
1447792539026	1447792536690	6	9
1447792592753	1447792590452	7	8
1447792658381	1447792656119	10	5
1447792832284	1447792830603	9	6
1447793858958	1447793857296	8	7
1447794017696	1447794015347	9	6
1447794112143	1447794109767	10	5
1447794430684	1447794428991	9	6
1447795584646	1447795582885	8	7
1447797861347	1447797859677	9	6
1447798849906	1447798848875	8	7
1447799367013	1447799365824	7	8
1447799572771	1447799571731	6	9
1447799668668	1447799666659	5	10
1447799682310	1447799680930	4	11
1447799870313	1447799869095	3	12
1447801128253	1447801127120	2	13
1447801544013	1447801542855	1	14
1447802240344	1447802238468	2	13
1447805051813	1447805049798	3	12
1447807078665	1447807063648	4	11
1447809203431	1447809201228	3	12
1447810867119	1447810865136	2	13
1447810951037	1447810950653	1	14
1447815886227	1447815884480	1	14
1447815900249	1447815899239	0	15
1447829037086	1447829034318	0	15
1447849470350	1447849468527	1	14
1447849518283	1447849516387	3	12
1447850664439	1447850662437	4	11
1447853716138	1447853714685	3	12
1447854210725	1447854209974	4	11
1447854408627	1447854407887	3	12
1447855349321	1447855347858	4	11
1447855723194	1447855721728	5	10
1447856071110	1447856069570	6	9
1447856252813	1447856251089	7	8
1447857207190	1447857206257	8	7
1447858167490	1447858166444	7	8
1447859264551	1447859262793	6	9
1447860508079	1447860506243	7	8
1447860593744	1447860591932	8	7
1447860916750	1447860915609	9	6
1447861025900	1447861022257	10	5
1447861096841	1447861068154	9	6
1447861123899	1447861121998	10	5
1447861460296	1447861459122	9	6
1447862402269	1447862401034	8	7
1447862526213	1447862524984	7	8
1447866402000	1447866400516	6	9
1447867123434	1447867121926	5	10
1447867728367	1447867718647	6	9
1447868054078	1447868051748	7	8
1447868622535	1447868620458	8	7
1447870598163	1447870596140	8	7
1447870604507	1447870603575	7	8
1447871743693	1447871742693	6	9
1447874313613	1447874311787	7	8
1447874871173	1447874869985	6	9
1447879595725	1447879594255	5	10
1447880263645	1447880262132	4	11
1447880502903	1447880500747	5	10
1447880819536	1447880817674	4	11
1447880840778	1447880838938	3	12
1447881967503	1447881965198	4	11
1447882457539	1447882454968	5	10
1447882461741	1447882460097	4	11
1447882832874	1447882830497	5	10
1447882994257	1447882992581	4	11
1447883463108	1447883461792	3	12
