LastComm	LastUpdate	N_Bikes	N_Empty
1447448998331	1447447729859	10	4
1447450692181	1447450691430	11	3
1447452140613	1447452139805	10	4
1447452282190	1447452281255	9	5
1447453270634	1447453269230	10	4
1447453349824	1447453348229	11	3
1447453428755	1447453427278	12	2
1447453623675	1447453622825	11	3
1447453737467	1447453736566	10	4
1447454565744	1447454564824	9	5
1447454760744	1447454759029	10	4
1447454863554	1447454862586	9	5
1447455647304	1447455646265	8	6
1447455887586	1447455885739	7	7
1447457162871	1447457161460	6	8
1447457525643	1447457524862	5	9
1447458073715	1447458072918	4	10
1447462163674	1447462161505	4	10
1447462166672	1447462165640	3	11
1447462344758	1447462343692	3	10
1447462435968	1447462434929	2	11
1447463954727	1447463953563	1	12
1447465579084	1447465577154	2	11
1447466374857	1447466373582	1	12
1447468653905	1447468652505	0	13
1447468908286	1447468906883	1	12
1447468950588	1447468949165	0	13
1447483323839	1447483319484	0	13
1447510491454	1447510490022	1	12
1447514418250	1447514417547	0	13
1447514756263	1447514754910	1	12
1447515015381	1447515014388	0	13
1447516020507	1447516019024	1	12
1447516979595	1447516978183	2	11
1447517165778	1447517164959	1	12
1447517615187	1447517614346	0	13
1447517894997	1447517893450	1	12
1447519884381	1447519882428	1	12
1447519949458	1447519947699	1	12
1447521685984	1447521683956	0	13
1447524364585	1447524362703	1	12
1447524379419	1447524377829	0	13
1447526000555	1447525966543	1	12
1447526059559	1447526057497	4	9
1447526100019	1447526098036	5	8
1447526182008	1447526180037	6	7
1447526211307	1447526209229	7	6
1447526281743	1447526280145	8	6
1447526330302	1447526328224	9	5
1447529149985	1447529147899	9	5
1447529153084	1447529152029	8	6
1447530224753	1447530222946	11	3
1447530579458	1447530577656	12	2
1447531324830	1447531322801	13	1
1447531324830	1447531480108	12	2
1447532357669	1447532355464	12	2
1447532365537	1447532364282	11	3
1447532631563	1447532630290	10	4
1447534169808	1447534168454	9	5
1447534596008	1447534593604	9	5
1447534599335	1447534597808	8	6
1447535242836	1447535240704	9	5
1447535987297	1447535985184	7	7
1447536002397	1447536000566	6	8
1447537877138	1447537874872	7	7
1447538881399	1447538878953	8	6
1447540585696	1447540583978	7	7
1447541097144	1447541094723	8	6
1447541865305	1447541862873	9	5
1447542945634	1447542943133	10	4
1447543452976	1447543451979	11	3
1447543539297	1447543538958	10	4
1447545592929	1447545592486	9	5
1447545621674	1447545621233	8	6
1447546394188	1447546393018	9	5
1447552727682	1447552726137	10	4
1447553991248	1447553990331	9	5
1447555647515	1447555646492	8	6
1447562608693	1447562607136	8	6
1447562613795	1447562613198	7	7
