LastComm	LastUpdate	N_Bikes	N_Empty
1447449240972	1447448846294	14	13
1447450914590	1447450913936	13	14
1447451052871	1447451052364	12	15
1447451605528	1447451604923	11	16
1447452074151	1447452073595	10	17
1447452336917	1447452336052	8	19
1447457171680	1447457170149	9	18
1447458273726	1447458272137	10	17
1447461262545	1447461261169	11	16
1447461890950	1447461889578	12	15
1447462758496	1447462757034	11	16
1447464477635	1447464476692	10	17
1447464713290	1447464712173	9	18
1447467889288	1447467888090	8	19
1447477411001	1447477409988	9	18
1447482244439	1447482243086	10	17
1447484615272	1447484614155	9	18
1447496234601	1447496232968	10	17
1447496234601	1447510490022	9	18
1447496234601	1447510863134	8	19
