LastComm	LastUpdate	N_Bikes	N_Empty
1447721474123	1447721472753	11	10
1447722558307	1447722557513	10	11
1447724347679	1447724345640	10	11
1447724351010	1447724350120	9	12
1447730480031	1447730478079	10	11
1447735045414	1447735043912	9	12
1447738824121	1447738822979	8	13
1447762979872	1447762977312	9	12
1447766402882	1447766401096	10	11
1447767547961	1447767546145	11	10
1447767811072	1447767809189	12	9
1447768141951	1447768140112	13	8
1447768309160	1447768307159	14	7
1447768378997	1447768377065	15	6
1447768404336	1447768402460	16	5
1447769430111	1447769427984	17	4
1447771106834	1447771074044	18	3
1447771360554	1447771358670	18	4
1447771796077	1447771794225	19	3
1447772239901	1447772231122	22	0
1447773709698	1447773708524	21	1
1447775239977	1447775238050	22	0
1447777644514	1447777641162	21	1
1447778982983	1447778980636	20	2
1447779004011	1447779001824	19	3
1447779087460	1447779085957	15	7
1447779151280	1447779137856	13	9
1447779648307	1447779646774	12	10
1447779997723	1447779995562	13	9
1447781155894	1447781153591	14	8
1447782690690	1447782688059	15	7
1447784057448	1447784039198	14	8
1447784959429	1447784958337	15	7
1447786095885	1447786095554	14	8
1447789991414	1447789990251	15	7
1447790040704	1447790040154	14	8
1447793420980	1447793420240	13	9
1447793964431	1447793963038	14	8
1447797269134	1447797268174	13	9
1447798637820	1447798637020	14	8
1447799180194	1447799180002	13	9
1447799521220	1447799520598	12	10
1447800098027	1447800097041	13	9
1447800212796	1447800212563	12	10
1447800340134	1447800338719	12	10
1447800545198	1447800544574	11	11
1447800974482	1447800974135	10	12
1447801123829	1447801123549	9	13
1447801892115	1447801891789	8	14
1447802627191	1447802626067	9	13
1447802705761	1447802705374	8	14
1447804148409	1447804147955	7	15
1447804271361	1447804270888	8	14
1447804310876	1447804309723	9	13
1447808293517	1447808292814	8	14
1447809081872	1447809080366	9	13
1447810246420	1447810245595	8	14
1447816773109	1447816770196	7	15
1447821623408	1447821622378	6	16
1447823315656	1447823314613	5	17
1447823582014	1447823579916	5	17
1447823585566	1447823584497	4	18
1447847194130	1447847192511	5	17
1447852481198	1447852479153	6	16
1447853068491	1447853066414	7	15
1447853397086	1447853363118	7	15
1447853568609	1447853566490	8	14
1447853713729	1447853711726	9	13
1447854452626	1447854451239	11	11
1447854529101	1447854527028	12	10
1447854774372	1447854772284	13	9
1447854866147	1447854863996	14	8
1447854869745	1447854868343	15	7
1447856092432	1447856090208	16	6
1447856858394	1447856857336	17	5
1447857102528	1447857101891	19	3
1447858387807	1447858386762	20	2
1447861038998	1447861037845	21	1
1447861896935	1447861895965	22	0
1447863321081	1447863320349	21	1
1447865222225	1447865221460	20	2
1447868261062	1447868260105	22	0
1447868660997	1447868658776	22	0
1447868667111	1447868666142	21	1
1447868895432	1447868893659	22	0
1447872170362	1447872169918	20	2
1447872210440	1447872210050	18	4
1447872259408	1447872258980	17	6
1447872331020	1447872329918	16	7
1447875701293	1447875699754	17	6
1447878857107	1447878855599	18	5
1447880741624	1447880740732	17	6
1447881782064	1447881780704	18	5
1447881968699	1447881954610	19	4
1447882922892	1447882921259	20	3
1447884066722	1447884064855	21	2
1447884632058	1447884630926	20	3
1447885068487	1447885067343	19	4
1447887115502	1447887113807	19	4
1447887129158	1447887126316	18	5
1447887619814	1447887619195	17	6
1447891495932	1447891495089	16	7
1447897311349	1447897310208	15	8
1447898585329	1447898582868	14	9
1447901388302	1447901386280	14	9
1447901403530	1447901402126	13	10
1447907231751	1447907229837	14	9
1447915465744	1447915461512	14	9
1447933913221	1447933912136	15	8
1447935327058	1447935325941	14	9
1447935397487	1447935396326	12	11
1447935451781	1447935450587	11	12
1447935488506	1447935487366	10	13
1447935569628	1447935568507	8	15
1447935629240	1447935628099	6	17
1447935659631	1447935658406	5	18
1447936819978	1447936818647	6	17
1447937767222	1447937766586	5	18
1447939757745	1447939756178	6	17
1447940763226	1447940761703	7	16
1447941047744	1447941046201	8	15
1447941816561	1447941815476	9	14
1447943756799	1447943755129	10	13
1447944769289	1447944768225	9	14
1447945204536	1447945203044	10	13
1447945473394	1447945449946	11	12
1447945910679	1447945908895	12	11
1447950122446	1447950120403	13	10
1447951103161	1447951101100	14	9
1447951538276	1447951536214	15	8
1447951988717	1447951986414	16	7
1447954328827	1447954327155	15	8
1447955604898	1447955602585	16	7
1447958231307	1447958228814	17	6
1447958667948	1447958666561	18	5
1447959576806	1447959575956	17	6
1447960014751	1447960013168	18	5
1447960093956	1447960092447	19	4
1447960559970	1447960559090	18	5
1447962060817	1447962059863	17	6
1447964649935	1447964648156	16	7
1447965328629	1447965326800	17	6
1447967032977	1447967031017	18	5
1447967980989	1447967979224	18	4
1447969040516	1447969039144	17	5
1447970459577	1447970457883	16	6
1447971029454	1447971027973	15	7
1447971485023	1447971483504	14	8
1447971764452	1447971762934	13	9
1447972340975	1447972339423	12	10
1447973313468	1447973312537	11	11
1447974519819	1447974518501	10	12
1447975048913	1447975047893	9	13
1447975342357	1447975340745	10	12
1447975819489	1447975817281	10	12
1447975823320	1447975822208	9	13
1447976418560	1447976416838	11	11
1447977259299	1447977257644	12	10
1447977953033	1447977951876	11	11
1447978931290	1447978929779	10	12
1447980690054	1447980688826	9	13
1447981042757	1447981030577	8	14
1447982047608	1447982045488	9	13
1447983000079	1447982998719	8	14
1447984891062	1447984889584	7	15
1447988870759	1447988869183	8	14
1448020147486	1448020146400	9	13
1448020441163	1448020439875	10	12
1448024212524	1448024211838	9	13
1448025806678	1448025805080	10	12
1448026077938	1448026077139	11	11
1448026511774	1448026493421	12	10
1448028010696	1448028009172	13	9
1448028501444	1448028486329	14	8
1448030395392	1448030393731	15	7
1448030797071	1448030795230	16	6
1448030929723	1448030927870	17	5
1448031604904	1448031603848	18	4
1448031889393	1448031888281	19	3
1448032569744	1448032569263	18	4
1448035616275	1448035614610	19	3
1448037262983	1448037262206	18	4
1448043179853	1448043177940	18	4
1448043422386	1448043420317	19	3
1448045136607	1448045135413	18	4
1448045896280	1448045894715	19	3
1448046563776	1448046563040	18	4
1448047987900	1448047986354	19	3
1448055123539	1448055122346	18	4
1448056279850	1448056278538	17	5
1448056604283	1448056602989	16	6
1448056746405	1448056745069	15	7
1448057581996	1448057580667	13	9
1448058062206	1448058060811	12	10
1448058528575	1448058527132	11	11
1448058688847	1448058686643	12	10
1448059303550	1448059301470	13	9
1448062710153	1448062709333	12	10
1448064920016	1448064917999	11	11
1448073615207	1448073613789	10	12
1448075320799	1448075319748	11	11
1448076128602	1448076128252	11	11
1448079053390	1448079052209	12	10
1448079954736	1448079954181	11	11
1448088323863	1448088319612	11	11
1448089122401	1448089080071	10	12
1448095164707	1448095163223	9	13
1448117337009	1448117335202	8	14
1448118567876	1448118565887	8	14
1448118575413	1448118573245	8	14
1448134531435	1448134530324	7	15
1448136259442	1448136257522	8	14
1448136632835	1448136631494	7	15
1448138191776	1448138189771	8	14
1448144404823	1448144402542	9	13
1448146384501	1448146382700	8	14
1448146782909	1448146780844	7	15
1448154756803	1448154755456	8	14
1448155269986	1448155269407	7	15
1448163303124	1448163302373	6	16
1448179473470	1448179472629	5	17
1448203959322	1448203957718	4	18
1448205413472	1448205412485	5	17
1448207827717	1448207827198	6	16
1448208104854	1448208104329	5	17
1448208255200	1448208253973	6	16
1448208728809	1448208727640	7	15
1448209674946	1448209673969	6	16
1448209980105	1448209978845	7	15
1448210820034	1448210818666	8	14
1448212163916	1448212163177	8	15
1448213895802	1448213894244	9	14
1448220432272	1448220431517	10	13
1448221002437	1448221002268	9	14
1448222065077	1448222064209	10	13
1448222105959	1448222105045	11	12
1448226009600	1448226008385	12	11
1448226152237	1448226145521	13	10
1448228432591	1448228431241	14	9
1448229166575	1448229165025	15	8
1448229490181	1448229488795	16	7
1448229995565	1448229994164	17	6
1448234768986	1448234768807	16	7
1448242006177	1448242004957	17	6
1448261170607	1448261165824	17	6
1448279722270	1448279720787	18	5
1448282350325	1448282348415	19	4
1448284806206	1448284804153	20	3
1448285388188	1448285386075	21	2
1448285843503	1448285841248	22	1
1448286008689	1448286006533	23	0
1448291399945	1448291397528	21	2
1448291474454	1448291472020	18	5
1448291525541	1448291523155	16	7
1448292201528	1448292199077	17	6
1448294532746	1448294531047	18	5
1448295784834	1448295778595	19	4
1448296763670	1448296761137	18	5
1448296859952	1448296858871	17	6
1448297550288	1448297549143	16	7
1448299237004	1448299234975	17	6
1448299939674	1448299938420	16	7
1448300721415	1448300719375	17	6
1448302715248	1448302713170	18	5
1448303532883	1448303531211	17	6
1448303732044	1448303729786	18	5
1448304986376	1448304984791	17	6
1448306344125	1448306342510	16	7
1448308478360	1448308477426	17	6
1448309811404	1448309810067	18	5
1448311055209	1448311054504	17	6
1448311585909	1448311584745	18	5
1448316463438	1448316462701	17	6
1448316999552	1448316998791	16	7
1448317906150	1448317905323	15	8
1448318139028	1448318138150	14	9
1448318970525	1448318968809	15	8
1448319770929	1448319770020	14	9
1448319803629	1448319800616	15	8
1448320119693	1448320118761	14	9
1448320951690	1448320950682	13	10
1448322096289	1448322094579	12	11
1448322414073	1448322413417	11	12
1448323258365	1448323257806	10	13
1448325854989	1448325853645	11	12
1448326132333	1448326131659	10	13
1448326902145	1448326901421	9	14
1448328473075	1448328472238	8	15
1448333883727	1448333881898	9	14
1448337490676	1448337489324	10	13
1448344251313	1448344201615	11	12
1448344287888	1448344285898	11	12
1448369500990	1448369499256	12	11
1448369825314	1448369823666	13	10
1448370783885	1448370782098	14	9
1448371220189	1448371218538	15	8
1448371957951	1448371956147	16	7
1448372537255	1448372535482	17	6
1448372582680	1448372580826	18	5
1448372970214	1448372969067	19	4
1448373203389	1448373201506	20	3
1448373498574	1448373496807	21	2
1448373715113	1448373713949	19	4
1448373809274	1448373807362	16	7
1448373875948	1448373874096	14	9
1448373951120	1448373949233	12	11
1448373981701	1448373979945	11	12
1448376042812	1448376040856	12	11
1448376520565	1448376518657	13	10
1448377675181	1448377673069	14	9
1448378113298	1448378111875	13	10
1448380765077	1448380763443	14	9
1448381327466	1448381325741	15	8
1448382199816	1448382198031	16	7
1448385160842	1448385158842	17	6
1448386648133	1448386646152	18	5
1448386998350	1448386996400	19	4
1448387301549	1448387300217	18	5
1448390722680	1448390720432	19	4
1448391705604	1448391703830	18	5
1448397790143	1448397788601	19	4
1448398275000	1448398273037	19	4
1448398280152	1448398279313	18	5
1448399050208	1448399048314	18	5
1448399065571	1448399064205	17	6
1448400006007	1448399990098	18	5
1448400167496	1448400159355	19	4
1448400266568	1448400265539	18	5
1448401784842	1448401783787	17	6
1448402125624	1448402123821	18	5
1448402312933	1448402311129	19	4
1448402690023	1448402688902	18	5
1448403480457	1448403479309	17	6
1448405340524	1448405338641	18	5
