LastComm	LastUpdate	N_Bikes	N_Empty
1447721999790	1447719626799	17	1
1447722289824	1447722288304	16	2
1447723757372	1447723755370	17	1
1447760579575	1447760578200	16	2
1447764317652	1447764315414	17	1
1447764760400	1447764758357	14	3
1447764821410	1447764819505	12	5
1447764875449	1447764869890	13	5
1447764940345	1447764938113	13	5
1447765882163	1447765879999	12	6
1447766478586	1447766476680	11	7
1447766612535	1447766610133	12	6
1447767148996	1447767147199	11	7
1447767195607	1447767193822	10	8
1447767888360	1447767886119	9	9
1447767970534	1447767967584	9	9
1447767973758	1447767971921	8	10
1447769189807	1447769187870	7	11
1447769721657	1447769719114	8	10
1447770063352	1447770062501	9	9
1447770320427	1447770320221	10	8
1447776538717	1447776538090	11	7
1447782625423	1447782624388	10	8
1447785172829	1447785171202	9	9
1447792755437	1447792753307	10	8
1447795472355	1447795470505	9	9
1447797302786	1447797300277	10	8
1447798387088	1447798384518	11	7
1447798590709	1447798588278	13	5
1447799193813	1447799192278	14	4
1447799345278	1447799344320	13	5
1447799900384	1447799899023	14	4
1447812559357	1447812556866	15	3
1447821721688	1447821720542	16	2
1447829038324	1447829034476	17	1
1447833468784	1447833467037	16	2
1447848029068	1447848028415	15	3
1447848109337	1447848108031	14	4
1447848158080	1447848155901	13	5
1447848269633	1447848268240	11	7
1447848328224	1447848326960	10	8
1447848380229	1447848378992	9	9
1447851276749	1447851275624	8	10
1447853025974	1447853024697	6	12
1447853247341	1447853245538	7	11
1447853888921	1447853887722	6	12
1447854189844	1447854188806	5	13
1447854372712	1447854371655	4	14
1447854528413	1447854527348	3	15
1447854528413	1447854763999	2	16
1447854836247	1447854834813	1	17
1447855431747	1447855429988	2	16
1447856946137	1447856944678	3	15
1447857880701	1447857879835	2	16
1447864743622	1447864741518	3	15
1447869582796	1447869580308	4	14
1447870512078	1447870509718	5	13
1447872346484	1447872345330	4	14
1447879741903	1447879739817	5	13
1447884105004	1447884102507	6	12
1447888032694	1447888030998	7	11
1447888509051	1447888507821	7	11
1447888765750	1447888763637	8	10
1447896316015	1447896314298	9	9
1447896841096	1447896838778	10	8
1447902280728	1447902278973	11	7
1447920677678	1447920676248	12	6
1447937444792	1447937443224	13	5
1447937746309	1447937745009	12	6
1447939564329	1447939563008	11	7
1447940053694	1447940052341	12	6
1447940721648	1447940719890	12	6
1447942114836	1447942113645	13	5
1447942222111	1447942220512	12	6
1447942738984	1447942737435	11	7
1447969713777	1447969712048	12	6
1447970318811	1447970317179	13	5
1447970398120	1447970396778	14	4
1447971165432	1447971163659	15	3
1447971281578	1447971279820	16	2
1447971332409	1447971328959	16	1
1447972602161	1447972600119	17	0
1447976448817	1447976448074	16	1
1447976596681	1447976595497	17	0
1448001893537	1448001890195	17	0
1448020881635	1448020879077	17	0
1448020887896	1448020886542	16	1
1448024266994	1448024265411	15	2
1448025983440	1448025980777	15	2
1448026054706	1448026052396	16	1
1448026159328	1448026156777	16	1
1448026181372	1448026178747	16	1
1448026270173	1448026267498	16	1
1448026284842	1448026282684	15	2
1448027128906	1448027126258	13	4
1448027147475	1448027145738	12	5
1448028573556	1448028571016	13	4
1448029809592	1448029806983	14	3
1448043298394	1448043297181	13	4
1448052037765	1448052036366	14	3
1448053569047	1448053567873	13	4
1448053742502	1448053740596	14	3
1448056427917	1448056425807	15	2
1448056764478	1448056763077	17	0
1448058707973	1448058706437	16	1
1448058834571	1448058833038	15	2
1448058923192	1448058921099	13	4
1448058973384	1448058971848	11	6
1448059105867	1448059103539	12	5
1448063139836	1448063138427	13	4
1448070892816	1448070891557	15	2
1448072354835	1448072353475	14	3
1448088188534	1448088320190	14	3
1448088490564	1448088468143	15	2
1448117059663	1448117056630	15	2
1448117067069	1448117065242	14	3
1448118469390	1448118469143	13	4
1448119772623	1448119770721	12	5
1448119797697	1448119797372	11	6
1448130081531	1448130080487	13	4
1448138630236	1448138628259	14	3
1448143161993	1448143160044	13	4
1448143212924	1448143211184	12	5
1448174742810	1448174738961	12	5
1448203507598	1448203505710	11	6
1448205922929	1448205920733	10	7
1448205945860	1448205945392	9	8
1448210620268	1448210619469	9	9
1448211709841	1448211708930	8	10
1448217065384	1448217064116	9	9
1448221270116	1448221269152	8	10
1448226798422	1448227114368	8	10
1448230332023	1448230330412	7	11
1448231981132	1448231979470	6	12
1448234089446	1448234088879	5	13
1448249859542	1448249857630	6	12
1448278216622	1448278215469	5	13
1448279431934	1448279430718	4	14
1448283353674	1448283337363	4	14
1448284860624	1448284842195	4	14
1448285369603	1448285366903	5	13
1448285497613	1448285495443	6	12
1448285818057	1448285816119	5	13
1448286243719	1448286242044	6	12
1448286843877	1448286841958	5	13
1448288333946	1448288331735	5	13
1448288339294	1448288337478	4	14
1448302091166	1448302074548	4	14
1448302486869	1448302484788	5	13
1448302646069	1448302644572	4	14
1448304218943	1448304216817	5	13
1448306333016	1448306317007	5	13
1448306436442	1448306435633	4	14
1448309432254	1448309431019	3	15
1448309494069	1448309484046	4	14
1448309908144	1448309906891	3	14
1448310043462	1448310040844	1	14
1448310970712	1448310969282	2	13
1448313876214	1448313874236	3	12
1448314135018	1448314133097	4	11
1448316588158	1448316585767	5	10
1448318634578	1448318632232	6	9
1448321064057	1448321062867	7	8
1448321536992	1448321535767	8	7
1448327743692	1448327742603	7	8
1448330548476	1448330546727	8	7
1448331014483	1448331013258	8	6
1448331909325	1448331907802	7	7
1448347630015	1448347592580	7	7
1448364033336	1448364030188	7	7
1448364041152	1448364040074	6	8
1448366964350	1448366962113	5	9
1448369048672	1448369046230	5	9
1448369059551	1448369057849	4	10
1448371590519	1448371587999	4	10
1448371621153	1448371619207	3	11
1448371694699	1448371692478	4	10
1448372418869	1448372416903	3	11
1448373122630	1448373120349	4	10
1448373720392	1448373718656	3	11
1448374247781	1448374246065	2	12
1448376279077	1448376275702	2	12
1448379072711	1448379071133	3	11
1448379142479	1448379141554	2	12
1448385095685	1448385093677	3	11
1448387804865	1448387802727	4	10
1448388560168	1448388558590	3	11
1448388891995	1448388889717	4	10
1448389000035	1448388997813	5	9
1448390699902	1448390697586	6	8
1448393990475	1448393989821	5	9
1448395245163	1448395243750	6	8
1448399018540	1448399016872	7	7
1448400662941	1448400661845	6	8
1448402845492	1448402843615	7	7
1448403056357	1448403054725	6	8
1448403202064	1448403200136	7	7
1448404129207	1448404127130	8	6
1448406031012	1448406028841	9	5
