LastComm	LastUpdate	N_Bikes	N_Empty
1447721854371	1447720163719	7	4
1447722245038	1447722244342	6	5
1447723947931	1447723947124	5	6
1447729202580	1447729201439	4	7
1447729319116	1447729317990	3	8
1447731092120	1447731090182	4	7
1447742607054	1447742604248	4	7
1447762358310	1447762356275	5	6
1447764463864	1447764462345	6	5
1447764740991	1447764738856	7	4
1447764989077	1447764986755	8	3
1447765063184	1447765060528	8	3
1447765107753	1447765105199	8	3
1447766659674	1447766657402	9	2
1447767073343	1447767071682	8	3
1447767269265	1447767266917	9	2
1447769282397	1447769279877	10	1
1447769352539	1447769350025	11	0
1447771760484	1447771759317	9	2
1447771838545	1447771836955	8	3
1447771859244	1447771858077	7	4
1447771961880	1447771960759	5	6
1447773844479	1447773843277	6	5
1447773969599	1447773967835	7	4
1447774520927	1447774519214	8	3
1447776338473	1447776337334	7	4
1447777453363	1447777451406	8	3
1447778503876	1447778501905	9	2
1447778955911	1447778952645	10	1
1447779917200	1447779915046	11	0
1447780208965	1447780206078	10	1
1447781003121	1447781000958	11	0
1447785237593	1447785236790	10	1
1447786536287	1447786534582	11	0
1447786909651	1447786908750	9	2
1447789245672	1447789244614	10	1
1447795901211	1447795899791	9	2
1447797110049	1447797108568	8	3
1447797472368	1447797470559	7	4
1447797641361	1447797639847	6	5
1447798114393	1447798112133	7	4
1447798187137	1447798184877	8	3
1447798343946	1447798342391	7	4
1447800846650	1447800845833	6	5
1447801731867	1447801730794	4	7
1447802969349	1447802967617	5	6
1447804399639	1447804397890	6	5
1447804409373	1447804407658	7	4
1447805984124	1447805982349	8	3
1447806840707	1447806839386	7	4
1447807363692	1447807355390	5	6
1447807397685	1447807396475	4	7
1447807669936	1447807667671	4	7
1447807703613	1447807702381	3	8
1447808139032	1447808137137	4	7
1447810803817	1447810801761	5	6
1447813355695	1447813353075	5	6
1447813363036	1447813361134	4	7
1447817728082	1447817727077	3	8
1447818951090	1447818950039	2	9
1447820543820	1447820541956	3	8
1447843630740	1447843629566	4	7
1447847645079	1447847643277	5	6
1447849331296	1447849329415	6	5
1447850888180	1447850886316	7	4
1447851151898	1447851149927	8	3
1447852306958	1447852304691	8	3
1447852334796	1447852333394	7	4
1447853081276	1447853079202	6	5
1447853378165	1447853376743	5	6
1447853703132	1447853701628	7	4
1447853846214	1447853844077	8	3
1447854770455	1447854768307	9	2
1447855098656	1447855096387	10	0
1447861279180	1447861278342	9	1
1447861470125	1447861469270	8	2
1447862485853	1447862484219	9	1
1447864033861	1447864032820	8	2
1447866350916	1447866349424	7	3
1447869260201	1447869258104	8	2
1447869695461	1447869693335	9	1
1447869983915	1447869981883	10	0
1447870648251	1447870646825	9	1
1447870668783	1447870666731	8	2
1447872787870	1447872787090	7	3
1447873541015	1447873540197	6	4
1447876586903	1447876583488	6	4
1447876592054	1447876590901	5	5
1447877611800	1447877610014	6	4
1447878127872	1447878126442	5	5
1447879411739	1447879409843	6	4
1447879793427	1447879792250	5	5
1447881546051	1447881544075	6	4
1447882215185	1447882212977	6	4
1447882219930	1447882218630	5	5
1447883516642	1447883515277	4	6
