LastComm	LastUpdate	N_Bikes	N_Empty
1447721449451	1447721167676	4	10
1447722523400	1447722521926	5	9
1447722732629	1447722731045	6	8
1447723624974	1447723623336	7	7
1447723960145	1447723958486	8	6
1447725606002	1447725604953	7	7
1447725794378	1447725793318	6	8
1447726377860	1447726376521	5	9
1447727864861	1447727862976	6	8
1447728906522	1447728906002	5	9
1447729390561	1447729389154	6	8
1447729685816	1447729684147	7	7
1447742608739	1447742604790	7	7
1447760326801	1447760325568	6	8
1447760999478	1447760998050	7	7
1447761676043	1447761675211	6	8
1447763178732	1447763177804	5	9
1447765645026	1447765643776	4	10
1447766483173	1447766481379	5	9
1447766639426	1447766638265	4	10
1447766959927	1447766958715	3	11
1447767656717	1447767654720	4	10
1447767784480	1447767783234	3	11
1447768092173	1447768040648	4	10
1447768178696	1447768177424	3	11
1447769093221	1447769091890	2	12
1447784090699	1447784088835	1	13
1447784192093	1447784189558	2	12
1447787086110	1447787084977	3	11
1447787863992	1447787863604	2	12
1447790116057	1447790114777	3	11
1447796434498	1447796432826	4	10
1447797242801	1447797241048	5	9
1447797542376	1447797540687	6	8
1447798059261	1447798058129	5	9
1447798491047	1447798489943	4	10
1447800369016	1447800367007	5	9
1447800425007	1447800423759	4	10
1447800585820	1447800584568	4	10
1447801338961	1447801337837	5	9
1447801496012	1447801495513	4	10
1447802064861	1447802063628	5	9
1447802377329	1447802376643	5	9
1447802553821	1447802553285	4	10
1447803036798	1447803035774	3	11
1447803262696	1447803261417	4	10
1447804128860	1447804127470	5	9
1447804269441	1447804268802	3	11
1447806285950	1447806284448	4	10
1447807115110	1447807114232	3	11
1447808047334	1447808046425	2	12
1447808330448	1447808328554	1	13
1447810788546	1447810787294	1	13
1447811155797	1447811154047	2	12
1447811248417	1447811247257	1	13
1447811873184	1447811871217	2	12
1447813796035	1447813794725	1	13
1447815880141	1447815878485	2	12
1447816053732	1447816052813	1	13
1447825110746	1447825109195	0	14
1447852719828	1447852717690	1	13
1447852848320	1447852846114	3	11
1447852899024	1447852896844	4	10
1447852973990	1447852971826	6	8
1447853039574	1447853037390	8	6
1447853108130	1447853105934	10	4
1447853248542	1447853246408	11	3
