LastComm	LastUpdate	N_Bikes	N_Empty
1447721648837	1447718494534	4	11
1447722080968	1447722079328	3	12
1447723729182	1447723727778	4	11
1447724716888	1447724716109	3	12
1447735559473	1447735557368	2	13
1447737587705	1447737586849	3	12
1447742607770	1447742604303	3	12
1447767953026	1447767951873	2	13
1447768060974	1447768060119	1	14
1447771831104	1447771829366	2	13
1447771882179	1447771880991	1	14
1447772096372	1447772095182	0	15
1447775064476	1447775062365	1	14
1447775815636	1447775814285	2	13
1447777015056	1447777013641	1	14
1447793431163	1447793429625	2	13
1447795602522	1447795600926	3	12
1447797176442	1447797175398	2	13
1447800720848	1447800718947	3	12
1447804598734	1447804597244	2	13
1447805753595	1447805751213	3	12
1447806908232	1447806906588	2	13
1447809381452	1447809379626	3	12
1447811635725	1447811634690	4	11
1447813436921	1447813435818	3	12
1447822129259	1447822126999	4	11
1447827941274	1447827938176	4	11
1447827945346	1447827944284	3	12
1447850062868	1447850060990	5	10
1447850136480	1447850134587	7	8
1447850193856	1447850192312	8	7
1447851592182	1447851590871	7	8
1447853618713	1447853616822	8	7
1447854181371	1447854180094	7	8
1447856026371	1447856024711	8	7
1447856949242	1447856947786	7	8
1447858866779	1447858864541	8	7
1447859492786	1447859491202	7	8
1447859579804	1447859578218	6	9
1447863826294	1447863823702	7	8
1447866507996	1447866505957	6	9
1447866631217	1447866629167	5	10
1447868602888	1447868602067	6	9
1447872193560	1447872192856	5	10
1447879447970	1447879446811	4	11
1447880701182	1447880699197	5	10
1447881410285	1447881408337	6	9
1447881515838	1447881513865	7	8
1447881608749	1447881606691	8	7
1447881879238	1447881877921	7	8
1447884029912	1447884029315	6	9
1447885328762	1447885327474	7	8
1447885865157	1447885863786	8	7
1447889298926	1447889297708	7	8
1447889532708	1447889531773	6	9
1447891150295	1447891149261	5	10
1447892028915	1447892027095	6	9
1447893142777	1447893141454	5	10
1447894423904	1447894422662	4	11
1447895444597	1447895442676	5	10
1447906757750	1447906755755	6	9
1447915465213	1447915461769	6	9
1447939799646	1447939798327	5	10
1447940089218	1447940087884	4	11
1447940409665	1447940408825	3	12
1447944163919	1447944163146	2	13
1447950339078	1447950337739	1	14
1447952159196	1447952157176	2	13
1447956741164	1447956739474	1	14
1447956915638	1447956913965	2	13
1447958262920	1447958261801	1	14
1447959753664	1447959751787	2	13
1447959923646	1447959921716	3	12
1447963942926	1447963940735	4	11
1447966191785	1447966189469	3	12
1447966432472	1447966429926	4	11
1447967055813	1447967053416	5	10
1447967297111	1447967295425	4	11
1447967705163	1447967703432	3	12
1447967968533	1447967966800	2	13
1447972299416	1447972298529	1	14
1447972328006	1447972327132	0	15
1447973097826	1447973096235	1	14
1447973209422	1447973207788	2	13
1447973514302	1447973512680	3	12
1447975488833	1447975487117	4	11
1447978106251	1447978104323	5	10
1447978378929	1447978377068	6	9
1447978766977	1447978765674	5	10
1447983886166	1447983885752	4	11
1447985005480	1447985004700	3	12
1447985622373	1447985621236	4	11
1447990454368	1447990452826	5	10
1447993276476	1447993275491	4	11
1447994541700	1447994540479	3	12
1447999697667	1447999696023	4	11
1448000598629	1448000588096	3	12
1448022806460	1448022804642	2	13
1448026996969	1448026995269	1	14
1448027214051	1448027212635	0	15
1448030591981	1448030590423	1	14
1448039484792	1448039482644	2	13
1448039747632	1448039745366	3	12
1448040247499	1448040245659	2	13
1448044694267	1448044693225	3	12
1448048206748	1448048204785	4	11
1448049012305	1448049010982	3	12
1448050663825	1448050661925	4	11
1448052700429	1448052698295	5	10
1448053029148	1448053027660	4	11
1448057846743	1448057846015	5	10
1448059349769	1448059348398	7	8
1448059434883	1448059410564	8	7
1448059846607	1448059845914	7	8
1448060221161	1448060219643	8	7
1448060675481	1448060674734	7	8
1448061501967	1448061501058	6	9
1448062248257	1448062246724	7	8
1448062374847	1448062373284	8	7
1448062489876	1448062488730	7	8
1448063378697	1448063377079	8	7
1448064506399	1448064505076	7	8
1448064531672	1448064529988	6	9
1448065044963	1448065043951	5	10
1448065571249	1448065570189	4	11
1448066954828	1448066953013	5	10
1448070628344	1448070613778	6	9
1448075206602	1448075205423	5	10
1448077831667	1448077829717	6	9
1448082333306	1448082331751	7	8
1448082550436	1448082548873	6	9
1448082876858	1448082875271	5	10
1448086023695	1448086022604	4	11
1448088323222	1448088319715	4	11
1448116828052	1448116826717	5	10
1448118020324	1448118019560	4	11
1448119491479	1448119489955	5	10
1448121556633	1448121554993	6	9
1448124988147	1448124986355	7	8
1448129918946	1448129918273	6	9
1448131559007	1448131556984	6	9
1448131800476	1448131722925	5	10
1448132185351	1448132184567	6	9
1448132413483	1448132413268	5	10
1448132684143	1448132683240	6	9
1448135985017	1448135983600	6	9
1448136040327	1448136039332	6	9
1448138301611	1448138300369	7	8
1448140210737	1448140210232	7	8
1448141174543	1448141173288	8	7
1448142004871	1448142004127	7	8
1448143892345	1448143890898	8	7
1448148017018	1448148016697	11	4
1448149178858	1448149177853	12	3
1448149467000	1448149453697	10	5
1448149499241	1448149498146	9	6
1448150796920	1448150795447	9	6
1448150802161	1448150801691	8	7
1448150971029	1448150970541	7	8
1448167234179	1448167233457	6	9
1448169624225	1448169622621	7	8
1448199663722	1448199662198	8	7
1448209212772	1448209211628	9	6
1448210342867	1448210342355	8	7
1448210433948	1448210432860	9	6
1448211390302	1448211372167	10	5
1448211940484	1448211939118	11	4
1448212126993	1448212126222	10	5
1448212979109	1448212978197	11	4
1448214870145	1448214869365	10	5
1448219302463	1448219301687	11	4
1448219845765	1448219845613	10	5
1448220426362	1448220425536	11	4
1448220973879	1448220972093	10	5
1448222617177	1448222615611	10	5
1448222621771	1448222621445	9	6
1448223223117	1448223221738	9	6
1448223227433	1448223227044	8	7
1448223818543	1448223817459	9	6
1448224802296	1448224801822	11	4
1448226361431	1448226360133	9	6
1448238529435	1448238528402	8	7
1448261169329	1448261167439	7	8
1448282555336	1448282554195	6	9
1448286811239	1448286808738	6	9
1448286827366	1448286825674	5	10
1448286954154	1448286951918	6	9
1448288550512	1448288548366	7	8
1448302023319	1448302022290	7	8
1448307530259	1448307529063	8	7
1448310992220	1448310990771	7	8
1448313360041	1448313358617	8	7
1448314868443	1448314867538	7	8
1448316867660	1448316866350	6	9
1448317079124	1448317078099	5	10
1448318861395	1448318860245	4	11
1448319227575	1448319225737	5	10
1448322728513	1448322727387	6	9
1448329388593	1448329387065	7	8
1448330254839	1448330253323	6	9
1448338104133	1448338102897	7	8
1448372835636	1448372834190	6	9
1448377680283	1448377678828	5	10
1448380482560	1448380480877	6	9
1448381687388	1448381685395	6	9
1448381700313	1448381698947	5	10
1448398840932	1448398838913	6	9
1448399238849	1448399236429	6	9
1448399248784	1448399246273	5	10
1448400124725	1448400122497	6	9
1448403306786	1448403304261	7	8
1448404171143	1448404168853	8	7
1448404604894	1448404603214	7	8
