LastComm	LastUpdate	N_Bikes	N_Empty
1447449304641	1447447440714	8	7
1447450767518	1447450766152	9	6
1447451895071	1447451894121	8	7
1447452715047	1447452713571	10	5
1447452884321	1447452883481	11	4
1447453044344	1447453042842	12	3
1447453769527	1447453768637	11	4
1447454151741	1447454150191	12	3
1447454542543	1447454540861	13	2
1447455099477	1447455098253	12	3
1447455359317	1447455358327	11	4
1447460001726	1447459999801	12	3
1447465301723	1447465300138	13	2
1447467886694	1447467885207	12	3
1447473192426	1447473190269	13	2
1447509969554	1447509969135	12	3
1447517999814	1447517996656	13	2
1447519660220	1447519659157	12	3
1447524310144	1447524308199	13	2
1447526606982	1447526605662	11	4
1447526680448	1447526679131	9	6
1447526745984	1447526743991	8	7
1447527542701	1447527541267	6	9
1447534507669	1447534505150	6	9
1447539786564	1447539786046	5	10
1447541753967	1447541752608	6	9
1447542089477	1447542088760	5	10
1447554259333	1447554258447	6	9
1447554524226	1447554523282	7	8
1447563021740	1447563019928	8	7
