LastComm	LastUpdate	N_Bikes	N_Empty
1447721219695	1447716419968	9	1
1447722239808	1447722239235	8	2
1447722579876	1447722578587	9	1
1447742608650	1447742605020	9	1
1447762247762	1447762247016	8	2
1447763793732	1447763792105	8	2
1447763804333	1447763801979	7	3
1447765062758	1447765061107	7	3
1447765072079	1447765070454	6	4
1447765602770	1447765602095	5	5
1447766261653	1447766261019	4	6
1447766509221	1447766508161	4	6
1447766576848	1447766563002	7	3
1447766584896	1447766583828	8	2
1447766777944	1447766776670	9	1
1447767062139	1447767061453	8	2
1447767324125	1447767323415	7	3
1447767656592	1447767655871	6	4
1447768057298	1447768056553	5	5
1447769528298	1447769527462	4	6
1447769933936	1447769933064	3	7
1447771171030	1447771170082	2	8
1447773413005	1447773411541	4	6
1447773475619	1447773474113	8	2
1447773496524	1447773494691	9	1
1447785438202	1447785423706	7	1
1447787083440	1447787081899	7	1
1447787147652	1447787146375	5	3
1447787154860	1447787153685	5	3
1447787853693	1447787853258	7	3
1447796549373	1447796547453	8	2
1447796832117	1447796830734	7	3
1447798287632	1447798285778	7	3
1447798293672	1447798292833	6	4
1447798844961	1447798843325	7	3
1447799459548	1447799457846	8	2
1447800255859	1447800254703	8	2
1447800378085	1447800376543	9	1
1447800553046	1447800552217	8	2
1447801002384	1447801001479	9	1
1447801844248	1447801842713	10	0
1447814910695	1447814909832	9	1
1447816628383	1447816624579	10	0
1447846959599	1447846959393	9	1
1447847881825	1447847880676	10	0
1447849336254	1447849335561	9	1
1447851474184	1447851472309	8	2
1447852245971	1447852244644	7	3
1447852339851	1447852339323	6	4
1447852433081	1447852432513	5	5
1447853332013	1447853331425	4	6
1447854322430	1447854321742	3	7
1447854478284	1447854477055	1	9
1447855367062	1447855365786	0	10
1447856357767	1447856355700	2	8
1447856436055	1447856434504	6	4
1447856470528	1447856468719	7	3
1447858278962	1447858278566	6	4
1447864781573	1447864780754	5	5
1447871959068	1447871957481	6	4
1447874154456	1447874152523	6	4
1447874175246	1447874173274	6	4
1447874175246	1447874375715	5	5
1447876552562	1447876551188	5	5
1447877619206	1447877617786	6	4
1447877990579	1447877989095	7	3
1447879323214	1447879322434	6	4
1447882592802	1447882591096	7	3
1447882724306	1447882723131	6	4
1447884842529	1447884840596	7	3
1447887906676	1447887905716	7	3
1447889783007	1447889781451	8	2
1447891066651	1447891065189	9	1
1447915465311	1447915461093	9	1
1447935988677	1447935987547	8	2
1447936468022	1447936466477	7	3
1447936912801	1447936910029	7	3
1447936926981	1447936925502	6	4
1447937637727	1447937635215	6	4
1447937640745	1447937639501	5	5
1447938232195	1447938230924	4	6
1447938483239	1447938480889	4	6
1447938487137	1447938485682	3	7
1447938892330	1447938891023	2	8
1447939485152	1447939483797	3	7
1447940813251	1447940811824	2	8
1447941203814	1447941202364	1	9
1447942234661	1447942233108	0	10
1447943613788	1447943611517	1	9
1447944097642	1447944095685	0	10
1447945140585	1447945139532	1	9
1447945200651	1447945198153	4	6
1447945219972	1447945219361	5	5
1447950863111	1447950862454	4	6
1447955639705	1447955637986	5	5
1447957384169	1447957382481	6	4
1447957987710	1447957985976	7	3
1447961481457	1447961480487	6	4
1447965371274	1447965369347	7	3
1447969446176	1447969444015	7	3
1447971057668	1447971055458	8	2
1447971322642	1447971320427	9	1
1447973177141	1447973175448	10	0
1447976232930	1447976232348	9	1
1447977091113	1447977087441	8	2
1447979140674	1447979138317	9	1
1447979166451	1447979165056	10	0
1447980297016	1447980294750	10	0
1447980300262	1447980299323	9	1
1447994031018	1447994029462	10	0
1448025113128	1448025112165	9	1
1448025321028	1448025320085	8	2
1448025566226	1448025565243	7	3
1448026524441	1448026523381	6	4
1448026692727	1448026691629	5	5
1448027363296	1448027362251	4	6
1448027487726	1448027486673	3	7
1448027518070	1448027517013	2	8
1448027670688	1448027669613	1	9
1448027844972	1448027843184	0	10
1448030586840	1448030585141	2	8
1448030642295	1448030640320	5	5
