LastComm	LastUpdate	N_Bikes	N_Empty
1447449185538	1447449184573	4	17
1447450440746	1447450440093	3	18
1447450863531	1447450862332	2	19
1447451035237	1447451034037	4	17
1447451331867	1447451330198	4	17
1447451336125	1447451335432	3	18
1447451399830	1447451398488	4	17
1447451565751	1447451564017	4	17
1447451579819	1447451579121	3	18
1447452231922	1447452230538	4	17
1447452333522	1447452332160	5	16
1447452417927	1447452416448	6	15
1447452538088	1447452537328	5	16
1447452554096	1447452552869	6	15
1447452810188	1447452809413	5	16
1447452880887	1447452879486	6	15
1447453139523	1447453138096	7	14
1447453230992	1447453230177	8	13
1447453460173	1447453459358	7	14
1447453546638	1447453545162	8	13
1447453930735	1447453928987	9	12
1447455749163	1447455747227	9	12
1447455765215	1447455764208	8	13
1447456160797	1447456159483	7	14
1447456181658	1447456180663	6	15
1447456282305	1447456281313	5	16
1447457219033	1447457217983	4	17
1447457361930	1447457360146	5	16
1447460721364	1447460719376	6	15
1447461846488	1447461845153	5	16
1447463068861	1447463067945	4	17
1447464713627	1447464711913	5	16
1447483324259	1447483320641	5	16
1447507630787	1447507629768	6	15
1447509155992	1447509155227	7	14
1447520180175	1447520178905	8	13
1447520217433	1447520216825	10	11
1447520588563	1447520587763	9	12
1447523998444	1447523988949	12	9
1447528380416	1447528379298	11	10
1447529148271	1447529140686	10	11
1447529226546	1447529225386	8	13
1447536381833	1447536380588	9	12
1447538042723	1447538041874	8	13
1447559432404	1447559430409	9	12
1447560191817	1447560189819	10	11
