LastComm	LastUpdate	N_Bikes	N_Empty
1447721754503	1447720931792	6	12
1447722095782	1447722094228	6	12
1447722124582	1447722123062	5	13
1447724770667	1447724716406	6	12
1447730329865	1447730328640	5	13
1447731668605	1447731666474	5	13
1447731707161	1447731676449	4	14
1447731842729	1447731841497	3	15
1447731867642	1447731866279	2	16
1447740923162	1447740917276	2	16
1447740930025	1447740928329	1	17
1447745597736	1447745597264	0	18
1447764882133	1447764880959	1	18
1447764893097	1447764892481	0	18
1447765000856	1447764994884	3	15
1447765008589	1447765006466	2	16
1447765537541	1447765536299	3	15
1447766203088	1447766201310	3	15
1447766218312	1447766217319	2	16
1447766928796	1447766927398	3	15
1447768051220	1447768050438	2	16
1447768421295	1447768420369	3	15
1447769618657	1447769617130	4	14
1447772972761	1447772971063	5	13
1447773024290	1447773021044	6	12
1447774142040	1447774140272	7	11
1447778333713	1447778331616	8	10
1447780655841	1447780654347	6	12
1447781495731	1447781493902	5	13
1447781540291	1447781538156	6	12
1447782089478	1447782087556	7	11
1447782756538	1447782754266	8	10
1447785228379	1447785225856	9	9
1447786307132	1447786304917	10	8
1447786595361	1447786589995	11	7
1447786935634	1447786933117	12	6
1447787373736	1447787371148	13	5
1447787594196	1447787592285	12	6
1447787871933	1447787868736	13	5
1447787958228	1447787956714	15	3
1447788417716	1447788415255	15	3
1447788425731	1447788424249	14	4
1447789919618	1447789918621	13	5
1447790775770	1447790774014	14	4
1447790945029	1447790943968	13	5
1447791844305	1447791843170	12	6
1447792497890	1447792496054	13	5
1447794078917	1447794077669	12	6
1447794867767	1447794866079	11	7
1447795190344	1447795188899	10	8
1447795921643	1447795920264	9	9
1447796505833	1447796504149	8	10
1447797075476	1447797073045	8	10
1447797081320	1447797079880	7	11
1447797290706	1447797288614	8	10
1447797956556	1447797955040	7	11
1447799169891	1447799168333	6	12
1447799769976	1447799767715	7	11
1447800286787	1447800284494	8	10
1447800667761	1447800666120	7	11
1447801279976	1447801277991	6	12
1447802069955	1447802067880	5	13
1447802476693	1447802476263	4	14
1447802679114	1447802678682	3	15
1447804171415	1447804170216	4	14
1447805431354	1447805430703	3	15
1447806694089	1447806693422	2	16
1447806807197	1447806806225	1	17
1447807449896	1447807448486	2	16
