LastComm	LastUpdate	N_Bikes	N_Empty
1447721529478	1447719211964	13	11
1447723863465	1447723862186	14	10
1447730599211	1447730597483	15	9
1447742918336	1447742917536	14	10
1447759387548	1447759386847	15	9
1447764796734	1447764795698	14	10
1447767679133	1447767677295	15	9
1447767960311	1447767959176	14	10
1447769805384	1447769803539	15	9
1447769957617	1447769956350	14	10
1447771821922	1447771820430	13	11
1447771871225	1447771869189	14	10
1447773960766	1447773959257	13	11
1447778620121	1447778618313	12	12
1447782039154	1447782037251	13	11
1447785754130	1447785751820	14	10
1447785854260	1447785851873	13	11
1447795995302	1447795994536	12	12
1447797135848	1447797134030	12	12
1447797139486	1447797138655	11	13
1447797445313	1447797443780	12	12
1447798648121	1447798646431	13	11
1447799457002	1447799455340	14	10
1447799636814	1447799635164	15	9
1447800129337	1447800127660	16	8
1447801012226	1447801010430	17	7
1447803237083	1447803235799	18	6
1447803756657	1447803755219	20	4
1447805688101	1447805686739	19	5
1447807166607	1447807164459	20	4
1447807583987	1447807582416	19	5
1447807810922	1447807809017	18	6
1447808438144	1447808436818	19	5
1447809607183	1447809605967	20	4
1447814292038	1447814290369	21	3
1447819572072	1447819570957	20	4
1447828645021	1447828644035	19	5
1447829038110	1447829033928	19	5
1447845442212	1447845440926	20	4
1447849096810	1447849095028	21	3
1447850524042	1447850522793	20	4
1447852473123	1447852472175	19	5
1447853887619	1447853885303	18	6
1447854064236	1447854063198	17	7
1447855087090	1447855084761	16	8
1447856423614	1447856422404	15	9
1447858215563	1447858214243	13	11
1447858664732	1447858662767	14	10
1447858921130	1447858918577	14	10
1447858929324	1447858927956	13	11
1447861856065	1447861854433	12	12
1447864519710	1447864517346	13	11
1447865029846	1447865027399	12	12
1447865575843	1447865573047	12	12
1447865580946	1447865579032	11	13
1447865967507	1447865964978	12	12
1447866762422	1447866761037	13	11
1447868474513	1447868473713	12	12
1447868509724	1447868508026	13	11
1447868931692	1447868930267	14	10
1447869418233	1447869417371	13	11
1447870277194	1447870276294	12	12
1447871893938	1447871892237	13	11
1447874332526	1447874329487	14	10
1447874667477	1447874666284	13	11
1447878587376	1447878584988	13	11
1447878591281	1447878589605	12	12
1447881121270	1447881120194	11	13
