LastComm	LastUpdate	N_Bikes	N_Empty
1447448647025	1447448646129	8	9
1447451412625	1447451411554	7	10
1447451658379	1447451657312	6	11
1447451956006	1447451954104	7	10
1447452670595	1447452668838	6	11
1447452792018	1447452790860	5	12
1447452854076	1447452852930	4	13
1447454610035	1447454608134	5	12
1447455214953	1447455212988	6	11
1447458061610	1447458059478	7	10
1447461620178	1447461618988	8	9
1447466337593	1447466335709	8	9
1447466340811	1447466340023	7	10
1447472246427	1447472245264	6	11
1447479102816	1447479101754	5	12
1447508793971	1447508792066	6	11
1447512496247	1447512494854	5	12
