LastComm	LastUpdate	N_Bikes	N_Empty
1447721735766	1447721735265	0	16
1447722651888	1447722650581	1	15
1447723393369	1447723392752	0	16
1447742607270	1447742603261	0	16
1447762083637	1447762082568	1	15
1447764420968	1447764420066	0	16
1447765299635	1447765298402	2	14
1447766283193	1447766281737	3	13
1447767087940	1447767087189	2	14
1447767384360	1447767383577	4	12
1447768334752	1447768333257	5	11
1447768953712	1447768952179	6	10
1447769326016	1447769324857	7	9
1447769938686	1447769937076	8	8
1447770231543	1447770230557	9	7
1447770426440	1447770424807	10	6
1447770929996	1447770928337	11	5
1447771748812	1447771747237	12	4
1447771996324	1447771994657	13	3
1447773170200	1447773168457	14	2
1447773183898	1447773182807	15	1
1447773719113	1447773717983	14	2
1447776349204	1447776348397	15	1
1447782345246	1447782344557	14	2
1447783076624	1447783075496	15	1
1447783346928	1447783345536	16	0
1447783650927	1447783650398	15	1
1447784802954	1447784801686	16	0
1447791014148	1447791013465	15	1
1447791126025	1447791125353	14	2
1447792210457	1447792209364	13	3
1447793461878	1447793460417	14	2
1447794078019	1447794077172	13	3
1447795769279	1447795768388	12	4
1447795923964	1447795922138	12	4
1447795930348	1447795929441	11	5
1447796940100	1447796939117	10	6
1447797171174	1447797169884	9	7
1447797485872	1447797484673	8	8
1447797648914	1447797647889	7	9
1447797716513	1447797715458	6	10
1447798359241	1447798358150	5	11
1447798432990	1447798431891	4	12
1447799766872	1447799765704	3	13
1447800670150	1447800668883	2	14
1447801979820	1447801977318	1	15
1447801990348	1447801988812	0	16
1447802536699	1447802534766	1	15
1447805628337	1447805628239	0	16
1447810458226	1447810457204	1	15
1447810779995	1447810779282	2	14
1447811284239	1447811265911	1	15
1447811838880	1447811838120	0	16
1447813806338	1447813804983	1	15
1447814918885	1447814917954	2	14
1447819750695	1447819750238	1	15
1447819886399	1447819885929	0	16
1447820598539	1447820597258	1	15
1447820967487	1447820966954	0	16
1447853823155	1447853821841	2	14
1447854248010	1447854246811	4	12
1447854450532	1447854449000	5	11
1447854613165	1447854610542	5	11
1447854652533	1447854650771	5	11
1447855200059	1447855198442	6	10
1447855317030	1447855315421	7	9
1447855776251	1447855774464	8	8
1447856167019	1447856165363	9	7
1447858376789	1447858375011	10	6
1447858472241	1447858470462	11	5
1447858860232	1447858858029	11	5
1447858873884	1447858872429	10	6
1447858962747	1447858961555	9	7
1447859139646	1447859137881	10	6
1447860770791	1447860768791	11	5
1447861503436	1447861501432	12	4
1447862295032	1447862294146	14	2
1447864392132	1447864390369	13	3
1447864741528	1447864739805	14	2
1447865747498	1447865746133	13	3
1447866385219	1447866384073	12	4
1447866674220	1447866673091	11	5
1447867842179	1447867840952	10	6
1447868381426	1447868379545	11	5
1447868818527	1447868816900	10	6
1447868929262	1447868927140	11	5
1447869496014	1447869493972	12	4
1447869652808	1447869650638	13	3
1447869793933	1447869792583	12	4
1447870048167	1447870046036	13	3
1447870696611	1447870694587	14	2
1447871304910	1447871302836	15	1
1447872562099	1447872560596	16	0
1447874282099	1447874280516	15	1
1447875380977	1447875379292	14	2
1447876071904	1447876069532	15	1
1447877582856	1447877581756	14	2
1447877670775	1447877669077	15	1
1447877974241	1447877972478	16	0
1447880481197	1447880479886	15	1
1447880944701	1447880942308	15	1
1447880947919	1447880946623	14	2
1447881079490	1447881077887	15	1
1447882548341	1447882546953	14	2
1447883615758	1447883613626	15	1
