LastComm	LastUpdate	N_Bikes	N_Empty
1447448498825	1447446482478	31	5
1447449844647	1447449843177	32	4
1447451370458	1447451369567	31	5
1447451832002	1447451831025	30	6
1447451929901	1447451928976	29	7
1447452021961	1447452020248	30	6
1447453541669	1447453540199	29	7
1447453752878	1447453750759	29	7
1447453763365	1447453760864	28	8
1447454855528	1447454853943	29	7
1447455836175	1447455834283	30	6
1447456191986	1447456190338	32	4
1447483325330	1447483320541	32	4
1447516925996	1447516923408	32	4
1447516929835	1447516928527	31	5
