LastComm	LastUpdate	N_Bikes	N_Empty
1447448976993	1447448097837	18	8
1447450073873	1447450072137	19	7
1447451230475	1447451229375	18	8
1447451844454	1447451843286	17	9
1447452526688	1447452525524	16	10
1447458776114	1447458772427	16	10
1447458944133	1447458942247	14	12
1447483323252	1447483318301	14	12
1447518642978	1447518641883	15	11
1447522106362	1447522105121	14	11
1447524331959	1447524330463	15	10
1447529026634	1447529024416	15	10
1447529048874	1447529028963	14	11
1447543405278	1447543403437	13	12
1447553516679	1447553515177	14	11
1447554657856	1447554656943	13	12
