LastComm	LastUpdate	N_Bikes	N_Empty
1447448936936	1447448935879	6	5
1447450257541	1447450257209	5	6
1447450727778	1447450726629	6	5
1447450847382	1447450846269	7	4
1447451954163	1447451953617	6	5
1447452033473	1447452031749	7	4
1447452161707	1447452160649	8	3
1447452846136	1447452843859	8	3
1447452858302	1447452857186	7	4
1447453848735	1447453848238	6	5
1447454598668	1447454597359	7	4
1447454733737	1447454733167	6	5
1447455106806	1447455105289	7	4
1447456885849	1447456885121	6	5
1447457784522	1447457781488	7	4
1447458534026	1447458532474	8	3
1447462796187	1447462794401	9	2
1447469590363	1447469589199	8	3
1447472296177	1447472293937	7	4
1447475829387	1447475827119	7	4
