LastComm	LastUpdate	N_Bikes	N_Empty
1447448659068	1447446968046	9	6
1447451366501	1447451364808	10	5
1447454832563	1447454830707	11	4
1447455318397	1447455317097	10	5
1447455386965	1447455385419	11	4
1447456230917	1447456229649	12	3
1447457130349	1447457128418	13	2
1447457349716	1447457335898	14	1
1447458408982	1447458407304	14	1
1447458437746	1447458435610	13	2
1447460875389	1447460873100	14	1
1447462345660	1447462343287	15	0
1447470748780	1447470747890	14	1
1447471020667	1447471020070	13	2
1447483336643	1447483321384	13	2
1447505401224	1447505399682	12	3
1447514291460	1447514270183	13	2
1447524581919	1447524581547	12	3
1447527254917	1447527253598	13	2
1447528347433	1447528346754	12	3
1447535559793	1447535558164	13	2
1447537606810	1447537599131	14	1
1447539519871	1447539517942	13	2
1447539588867	1447539587189	12	3
1447539667295	1447539665612	11	4
1447539757014	1447539755959	10	5
1447555430834	1447555430308	11	4
