LastComm	LastUpdate	N_Bikes	N_Empty
1447721554513	1447718600103	15	8
1447723875972	1447723875263	14	9
1447726622632	1447726621043	15	8
1447726866300	1447726864712	16	7
1447729466846	1447729465483	17	6
1447735109825	1447735107664	18	5
1447755134135	1447755133806	17	6
1447763329651	1447763328780	16	7
1447764573184	1447764572364	15	8
1447765551425	1447765544700	15	8
1447765551425	1447765550535	14	9
1447766879045	1447766878071	13	10
1447766887383	1447766886101	12	11
1447769173449	1447769172315	11	12
1447776936257	1447776934606	10	13
1447780532482	1447780531458	11	12
1447783024755	1447783024253	11	14
1447783045398	1447783044291	11	15
1447783193498	1447783192098	12	14
1447787555323	1447787553877	13	13
1447798334702	1447798333139	14	12
1447798829173	1447798827537	15	11
1447799966405	1447799964688	16	10
1447803011232	1447803009148	17	9
1447803672300	1447803670326	16	10
1447804950217	1447804948168	17	9
1447806239237	1447806237107	18	8
1447807049518	1447807047288	19	7
1447816863354	1447816861137	20	6
1447829038966	1447829033391	20	5
1447844935302	1447844934078	19	6
1447847967779	1447847965059	19	6
1447847971571	1447847970288	18	7
1447849775750	1447849774364	17	8
1447850201532	1447850199109	16	9
1447851939545	1447851938737	15	10
1447853097738	1447853096846	14	11
1447853396866	1447853395958	13	12
1447854563975	1447854562697	12	13
1447855209230	1447855199104	12	14
1447855601501	1447855601641	11	15
1447874105498	1447874103653	12	14
1447874448398	1447874447030	13	13
1447876751041	1447876749090	14	12
1447878148398	1447878146311	15	11
1447879298786	1447879296690	16	10
1447880886386	1447880883712	16	10
1447880892620	1447880891103	15	11
1447881698455	1447881696148	16	10
1447884948364	1447884947619	17	9
1447885185119	1447885183639	18	8
1447886775433	1447886773839	19	7
1447891278537	1447891276631	20	6
1447893871074	1447893869039	21	5
1447931894468	1447931892638	22	4
1447938136926	1447938135290	21	5
1447938201958	1447938200401	20	6
1447940845443	1447940842370	20	6
1447940849270	1447940847546	19	7
1447949371889	1447949369836	20	6
1447949966157	1447949964635	19	7
1447953459743	1447953457336	20	6
1447963941827	1447963940854	19	7
1447968256592	1447968254668	20	6
1447971154238	1447971152728	21	5
1447971921132	1447971920306	20	6
1447972401423	1447972399887	21	5
1447976874933	1447976873142	22	4
1447977216694	1447977214856	23	3
1447979718294	1447979716227	24	2
1447980195100	1447980193006	25	1
1447980413447	1447980412052	24	2
1447980423620	1447980421647	25	1
1447982316018	1447982314494	24	2
1447983251833	1447983249606	25	1
