LastComm	LastUpdate	N_Bikes	N_Empty
1447721869315	1447718562687	8	11
1447722767240	1447722766896	7	12
1447723001377	1447723000377	8	11
1447724898173	1447724897057	9	10
1447725462167	1447725461684	8	11
1447728322324	1447728321048	9	10
1447733338970	1447733338023	8	11
1447739194771	1447739192818	9	10
1447761832655	1447761830546	10	9
1447762424791	1447762423353	9	10
1447764959286	1447764957688	8	11
1447765772914	1447765771699	9	10
1447765914021	1447765913112	9	10
1447766602301	1447766601488	10	9
1447766726952	1447766725978	10	9
1447768247696	1447768245465	9	10
1447768426749	1447768425989	8	11
1447768498421	1447768496962	9	10
1447768666145	1447768664718	10	9
1447768912706	1447768911768	9	10
1447769464820	1447769463303	10	9
1447770445860	1447770443828	10	9
1447770510176	1447770508577	10	9
1447770539293	1447770538419	9	10
1447770935781	1447770934163	10	9
1447771211234	1447771209517	11	8
1447771680735	1447771679137	12	7
1447772092463	1447772091447	13	6
1447777441614	1447777440029	14	5
1447780574843	1447780573902	13	6
1447782763383	1447782760938	14	5
1447782892344	1447782890197	15	4
1447783983382	1447783981944	14	5
1447788631487	1447788629428	13	6
1447792468218	1447792466266	12	7
1447796377681	1447796376624	11	8
1447796769909	1447796768468	12	7
1447797151154	1447797150095	13	6
1447797442820	1447797441449	14	5
1447797767841	1447797765871	13	6
1447797966038	1447797965280	12	7
1447798283514	1447798282009	13	6
1447798587489	1447798585668	13	6
1447798592014	1447798591210	12	7
1447798771015	1447798769290	10	9
1447798813180	1447798811805	8	11
1447799068003	1447799067180	7	12
1447799250251	1447799248782	8	11
1447799529851	1447799528330	9	10
1447800016013	1447800015087	8	11
1447800487449	1447800485842	9	10
1447800575884	1447800574289	9	10
1447800602539	1447800601615	8	11
1447801458115	1447801456500	9	10
1447802944110	1447802942439	10	9
1447803452888	1447803451757	9	10
1447803687965	1447803686189	10	9
1447804174694	1447804173018	11	8
1447804917632	1447804916424	10	9
1447805138381	1447805136376	11	8
1447806149197	1447806147368	12	7
1447807578218	1447807576553	11	8
1447810458723	1447810457767	12	7
1447811036510	1447811035855	11	8
1447811145136	1447811144017	12	7
1447811287135	1447811286097	13	6
1447812807453	1447812806409	15	4
1447815206666	1447815205469	16	3
1447816106570	1447816105197	17	2
1447820031528	1447820030684	16	3
1447822360983	1447822360003	15	4
1447823855307	1447823854755	13	6
1447823964272	1447823963599	14	5
1447829037892	1447829034388	14	5
1447847885992	1447847882465	14	5
1447848095974	1447848093957	15	4
1447850284371	1447850282478	16	3
1447850515736	1447850513707	17	2
1447850635389	1447850633338	16	3
1447852186176	1447852185533	15	4
1447852608364	1447852607979	14	5
1447853045806	1447853045411	13	6
1447853389046	1447853387975	15	4
1447853778104	1447853777613	14	5
1447854120490	1447854119395	15	4
1447854238234	1447854237761	14	5
1447854337058	1447854336575	15	4
1447854852115	1447854851611	14	5
1447854882277	1447854879837	13	6
1447854972349	1447854971557	14	5
1447855029789	1447855029271	13	6
1447855715963	1447855714725	14	5
1447855835237	1447855833149	15	4
1447855838923	1447855838353	14	5
1447856465945	1447856464616	15	4
1447856585498	1447856584150	15	4
1447856842640	1447856841255	16	3
1447857268598	1447857267290	17	2
1447857363548	1447857362217	18	1
1447857942437	1447857941656	17	2
1447858277553	1447858276165	18	1
1447860424704	1447860423845	19	0
1447865920719	1447865919544	18	1
1447866417992	1447866416782	14	5
1447866477899	1447866476696	12	7
1447869159453	1447869159225	11	8
1447870241042	1447870240439	12	7
1447871106279	1447871105259	13	6
1447872203797	1447872202729	14	5
1447874984816	1447874984238	13	6
1447875939521	1447875938727	12	7
1447880851336	1447880849579	13	6
1447881031071	1447881029511	12	7
1447881489490	1447881489178	11	8
1447882278163	1447882276957	11	8
1447882281545	1447882281306	10	9
1447883247691	1447883247388	9	10
1447883399784	1447883398797	10	9
