LastComm	LastUpdate	N_Bikes	N_Empty
1447721599185	1447720753327	10	5
1447723532147	1447723530378	11	4
1447724892935	1447724891376	12	3
1447734705032	1447734704072	11	4
1447737493584	1447737492479	10	5
1447741882872	1447741881184	11	4
1447755246963	1447755244827	12	3
1447764684302	1447764683185	13	2
1447766253379	1447766252500	12	3
1447766728018	1447766725655	13	2
1447770388431	1447770387146	14	1
1447771831386	1447771829831	15	0
1447775512880	1447775511102	14	1
1447775571272	1447775569562	12	3
1447775636553	1447775634837	10	5
1447775699984	1447775698325	8	7
1447791361087	1447791358716	7	8
1447791963417	1447791961067	8	7
1447797758543	1447797756535	9	6
1447798262185	1447798260662	8	7
1447801843087	1447801840925	9	6
1447804212173	1447804209854	8	7
1447806191288	1447806189285	9	6
1447808397972	1447808396998	10	5
1447814607595	1447814606248	11	4
1447823620224	1447823618382	12	3
1447824780469	1447824779051	11	4
1447828062685	1447828060578	12	3
1447829037410	1447829034476	11	4
1447847634749	1447847632419	11	4
1447847683084	1447847680787	12	3
1447848022133	1447848019883	11	4
1447851363815	1447851362347	12	3
1447852732304	1447852730888	13	2
1447854770164	1447854768994	13	2
1447855362544	1447855360967	14	1
1447855865268	1447855864104	13	2
1447857022896	1447857021668	12	3
1447858080703	1447858079017	13	2
1447861281636	1447861279008	13	2
1447861285766	1447861284273	12	3
1447861434885	1447861432851	11	4
1447861515600	1447861513749	9	6
1447861566165	1447861564042	8	7
1447861608479	1447861606645	7	8
1447865695336	1447865693618	8	7
1447870951993	1447870949899	9	6
1447874930328	1447874928186	8	7
1447877872124	1447877869629	9	6
1447878467981	1447878465440	10	5
