LastComm	LastUpdate	N_Bikes	N_Empty
1447449161044	1447448315655	12	19
1447449985542	1447449984476	13	18
1447450338319	1447450337257	14	17
1447450759756	1447450758706	15	16
1447450968541	1447450967615	16	15
1447451493349	1447451492316	17	14
1447452356128	1447452355336	18	13
1447452433849	1447452432726	19	12
1447452957688	1447452956556	21	10
1447453188199	1447453187046	22	9
1447453842971	1447453841776	23	8
1447454482209	1447454481267	24	7
1447454973069	1447454971717	25	6
1447455096408	1447455094887	26	5
1447455206872	1447455205578	27	4
1447455303462	1447455302126	28	3
1447455618731	1447455618033	27	4
1447456559775	1447456558416	28	3
1447456773073	1447456771587	29	2
1447457938273	1447457936566	30	1
1447465785535	1447465745928	31	0
1447466822998	1447466821930	30	1
1447470636381	1447470634718	31	0
1447475660166	1447475658189	30	1
1447487028452	1447487026578	31	0
1447512164556	1447512163612	30	1
1447513023912	1447513019188	30	1
1447516435182	1447516433950	29	2
1447517694477	1447517693141	28	3
