LastComm	LastUpdate	N_Bikes	N_Empty
1447449031678	1447446571205	10	5
1447450121129	1447450118541	9	6
1447451612082	1447451598386	10	5
1447453610357	1447453609441	9	6
1447454396393	1447454394705	10	5
1447463252185	1447463249975	11	4
1447469079620	1447469077886	12	3
1447477817960	1447477816271	13	2
1447483610525	1447483609216	14	1
1447503935804	1447503933737	15	0
1447515403638	1447515401535	13	2
1447515461699	1447515459307	10	5
1447515522105	1447515519780	7	8
1447516621529	1447516619180	8	7
1447516823497	1447516821230	9	6
