LastComm	LastUpdate	N_Bikes	N_Empty
1447721874548	1447718177991	6	5
1447723072586	1447723070368	6	5
1447723119354	1447723117797	5	6
1447723816777	1447723814829	6	5
1447733407970	1447733405838	7	4
1447734488320	1447734486815	6	5
1447736021033	1447736019417	8	3
1447761255020	1447761253627	9	2
1447764265229	1447764264533	8	3
1447764481680	1447764480224	9	2
1447765220540	1447765219166	10	1
1447765819708	1447765818266	11	0
1447767120367	1447767118870	10	1
1447767157197	1447767155722	8	3
1447769086675	1447769085633	7	4
1447770368679	1447770367475	8	3
1447771010636	1447771009394	9	2
1447781632314	1447781631019	8	3
1447784485484	1447784482165	7	4
1447786019163	1447786017706	8	3
1447788913290	1447788912362	7	4
1447790588797	1447790546482	7	4
1447792862377	1447792862260	6	5
1447794202511	1447794200242	5	6
1447795514217	1447795514069	4	7
1447796047364	1447796046566	5	6
1447796254851	1447796254376	4	7
1447796592698	1447796591858	3	8
1447797119553	1447797118333	2	9
1447797198781	1447797186003	2	9
1447797203557	1447797203051	1	10
1447798344299	1447798330852	1	10
1447799073919	1447799073024	6	5
1447799403281	1447799402899	5	6
1447799455469	1447799454515	6	5
1447799687117	1447799686181	7	4
1447803069045	1447803067811	8	3
1447804664119	1447804662810	9	2
1447805532718	1447805531418	10	1
1447808241929	1447808241128	9	2
1447808898412	1447808897573	8	3
1447809485485	1447809484603	8	3
1447809487109	1447809486235	7	4
1447829001646	1447829000037	6	5
1447842415640	1447842413503	7	4
1447847981588	1447847979112	8	3
1447848644576	1447848643365	9	2
1447848906259	1447848905690	8	3
1447849725631	1447849724893	8	3
1447849991481	1447849990025	9	2
1447850864859	1447850863505	10	1
1447852226081	1447852224644	11	0
1447854867986	1447854866355	11	0
1447854872481	1447854871535	10	1
1447855338176	1447855336504	11	0
1447857524568	1447857522846	10	1
1447857568371	1447857566544	9	2
1447857650615	1447857648868	6	5
1447857683274	1447857681546	5	6
1447857718816	1447857717030	4	7
1447858326372	1447858324574	5	6
1447861096672	1447861095202	4	7
1447861911519	1447861909414	5	6
1447863496824	1447863495897	6	5
1447865386803	1447865386101	5	6
1447867152046	1447867150735	6	5
1447870122315	1447870120875	7	4
1447871289580	1447871288146	8	3
1447871838721	1447871837981	7	4
1447874286473	1447874285543	6	5
1447877966762	1447877965231	7	4
1447879343262	1447879341633	8	3
1447880400639	1447880399373	7	4
1447881061438	1447881025641	8	3
1447881743224	1447881742166	7	4
1447882209391	1447882207506	8	3
1447882654702	1447882653255	7	4
1447883148260	1447883146665	6	5
1447883295067	1447883293966	5	6
1447884327468	1447884326298	4	7
1447884512566	1447884510361	4	7
1447884523109	1447884521089	3	8
1447884862085	1447884860868	4	7
1447884922495	1447884920647	6	5
1447884991552	1447884989645	9	2
1447896083931	1447896082700	8	3
1447915465372	1447915462113	8	3
1447934374862	1447934372921	9	2
1447937746693	1447937745717	10	1
1447938900745	1447938899069	10	1
1447938966895	1447938950166	11	0
1447938996590	1447938996050	10	1
1447939152235	1447939150820	10	1
1447939157175	1447939156753	9	2
1447939956903	1447939955769	8	3
1447940030992	1447940030177	6	5
1447940075434	1447940074305	5	6
1447940153322	1447940152854	4	7
1447940229199	1447940228101	3	8
1447941862635	1447941861397	4	7
1447942151602	1447942150627	6	5
1447942600756	1447942599768	7	4
1447942922461	1447942856793	7	4
1447947913245	1447947912643	8	3
1447952872654	1447952871083	7	4
1447953292969	1447953292697	6	5
1447953674029	1447953672615	6	5
1447953677189	1447953676901	5	6
1447955368799	1447955367669	6	5
1447955672278	1447955671110	7	4
1447956107318	1447956106872	6	5
1447957847324	1447957846271	5	6
1447957879565	1447957878450	5	6
1447959864052	1447959862809	6	5
1447960441513	1447960439668	6	5
1447963236170	1447963233709	6	5
1447963239156	1447963237749	5	6
1447964444384	1447964416665	5	6
1447964503860	1447964501964	5	6
1447964632072	1447964626980	6	5
1447964746150	1447964743635	6	5
1447964751979	1447964750435	5	6
1447965265608	1447965263198	6	5
1447965993543	1447965991920	5	6
1447966823923	1447966822249	4	7
1447967912839	1447967911050	3	8
1447968271794	1447968269434	2	9
1447968602192	1447968599730	3	8
1447968654188	1447968652387	5	6
1447968711187	1447968708824	7	4
1447968742957	1447968740540	8	3
1447968976441	1447968973898	9	2
1447969111187	1447969109099	10	1
1447969871155	1447969869036	9	2
1447970788605	1447970786665	8	3
1447971007749	1447971005809	7	4
1447971138335	1447971136427	6	5
1447971412654	1447971410713	5	6
1447971505343	1447971503331	4	7
1447971876679	1447971862699	5	6
1447972486421	1447972486160	4	7
1447975539930	1447975539601	3	8
1447977655447	1447977654991	2	9
1447986399896	1447986398957	3	8
