LastComm	LastUpdate	N_Bikes	N_Empty
1447449215859	1447449214083	11	7
1447449494653	1447449492904	10	8
1447449683779	1447449681367	11	7
1447450486068	1447450483212	11	7
1447450490628	1447450488653	10	8
1447450614070	1447450612164	9	9
1447450682189	1447450679736	10	8
1447450777962	1447450776103	9	9
1447451720204	1447451718749	8	10
1447452984395	1447452982576	9	9
1447453385835	1447453384650	7	11
1447453493972	1447453491895	8	10
1447453864275	1447453863068	7	11
1447453934275	1447453933062	6	12
1447454390478	1447454389231	5	13
1447454591771	1447454590506	4	14
1447454713596	1447454712281	3	15
1447455024065	1447455021835	3	15
1447455051787	1447455049827	2	16
1447458017829	1447458015545	3	15
1447459682888	1447459674016	3	15
1447459710300	1447459708531	2	16
1447460090093	1447460087875	3	15
1447460770801	1447460768005	3	15
1447460774072	1447460772362	2	16
1447462197064	1447462195295	1	17
1447463125620	1447463123184	2	16
1447463268398	1447463266561	1	17
1447464217063	1447464214255	1	17
1447464252158	1447464236888	1	17
1447467528051	1447467514877	1	17
1447483322785	1447483319080	1	17
1447520437223	1447520412064	3	15
1447520475297	1447520473031	6	12
1447522903296	1447522900785	7	11
1447523799926	1447523798052	6	12
1447526405504	1447526403826	7	11
1447527451459	1447527449856	8	10
1447528949280	1447528947823	7	11
1447529512758	1447529510936	8	10
1447533747094	1447533745692	7	11
1447535331452	1447535329943	6	12
1447535843136	1447535840996	7	11
1447536771544	1447536749280	6	11
1447538772517	1447538770717	6	11
1447538775676	1447538775063	5	12
1447540937625	1447540936236	6	11
1447540994085	1447540992660	8	9
1447541051150	1447541049721	10	7
1447541076921	1447541075527	11	6
1447542930353	1447542928779	9	8
1447544429887	1447544428258	10	7
1447544817103	1447544815337	11	6
1447547471542	1447547470047	12	5
1447549594049	1447549592682	11	6
1447549634351	1447549632985	10	7
1447553614366	1447553613190	11	6
1447557584128	1447557583346	10	7
1447557735556	1447557734852	8	9
