LastComm	LastUpdate	N_Bikes	N_Empty
1447721994653	1447721660583	5	6
1447722892529	1447722889791	5	6
1447722908439	1447722906495	3	8
1447723226633	1447723224401	4	7
1447723701621	1447723699331	5	6
1447724082461	1447724079971	6	5
1447732362404	1447732360948	7	4
1447733683754	1447733682076	8	3
1447759492794	1447759492321	7	4
1447760146648	1447760146164	6	5
1447761891681	1447761891085	5	6
1447762641439	1447762640801	5	6
1447762793291	1447762792659	4	7
1447763002975	1447763000229	4	7
1447763032361	1447763031347	2	9
1447764274753	1447764260338	1	10
1447764306666	1447764292839	1	10
1447764384615	1447764383209	2	9
1447764615877	1447764614842	1	10
1447764764163	1447764762140	1	10
1447764791422	1447764778019	1	10
1447765119784	1447765118640	2	9
1447766606294	1447766605431	1	10
1447766707132	1447766705560	2	9
1447767321794	1447767320030	3	8
1447767486630	1447767446180	4	7
1447767843329	1447767824073	5	6
1447767902858	1447767874952	5	6
1447768449548	1447768430051	6	5
1447768634322	1447768632541	7	4
1447768696321	1447768685331	6	5
1447768754067	1447768725658	5	6
1447769238326	1447769193061	6	5
1447769262876	1447769261334	5	6
1447769409107	1447769407471	6	5
1447770675162	1447770674182	5	6
1447771660497	1447771658312	5	6
1447771664561	1447771663512	4	7
1447772258219	1447772256554	3	8
1447773303164	1447773302043	2	9
1447773846790	1447773844983	3	8
1447774027369	1447774026170	4	7
1447782180287	1447782174351	5	6
1447783193903	1447783192179	4	7
1447787977121	1447787976460	3	8
1447788672850	1447788671457	4	7
1447794041603	1447794039938	5	6
1447795983916	1447795982281	4	7
1447797914980	1447797913782	3	8
1447797960514	1447797958558	4	7
1447798285080	1447798272349	4	7
1447798291545	1447798291420	3	8
1447798400892	1447798400079	4	7
1447799048951	1447799036989	5	6
1447800189629	1447800188360	6	5
1447801481790	1447801480638	7	4
1447802505058	1447802503935	8	3
1447802536765	1447802535659	9	2
1447802716049	1447802715522	8	3
1447803493740	1447803493281	7	4
1447804048991	1447804047609	8	3
1447804615147	1447804613868	9	2
1447805687832	1447805687210	8	3
1447806427559	1447806426924	7	4
1447807349589	1447807348711	6	5
1447808953239	1447808952440	5	6
1447811400662	1447811398958	6	5
1447816448301	1447816446366	7	4
1447819211715	1447819209576	8	3
1447829038026	1447829035641	8	3
1447846154088	1447846152111	8	3
1447846159510	1447846158835	7	4
1447846699752	1447846698868	6	5
1447848544555	1447848543739	5	6
1447849033684	1447849032831	4	7
1447849421778	1447849419236	4	7
1447849435044	1447849433559	3	8
1447849882001	1447849880193	2	9
1447851051776	1447851050738	1	10
1447851537948	1447851527617	1	10
1447852018892	1447852016606	1	10
1447852063084	1447852049408	1	10
1447852719897	1447852706066	1	10
1447853292521	1447853278836	1	10
1447854142005	1447854139755	2	9
1447854312560	1447854311409	3	8
1447854580433	1447854579269	2	9
