LastComm	LastUpdate	N_Bikes	N_Empty
1447721732826	1447719034374	13	3
1447723880583	1447723879709	12	4
1447724175251	1447724174359	11	5
1447724369324	1447724367737	12	4
1447724555357	1447724554443	11	5
1447729612212	1447729610425	12	4
1447730028927	1447730027046	13	3
1447730499425	1447730498955	12	4
1447730819099	1447730817645	12	4
1447730822441	1447730821916	11	5
1447738625504	1447738623930	12	4
1447742607795	1447742604078	12	4
1447762637319	1447762630255	11	5
1447766516334	1447766515168	10	6
1447766760970	1447766759793	9	7
1447767924548	1447767922487	10	6
1447768213290	1447768211702	9	7
1447768217944	1447768215973	8	8
1447768516127	1447768514853	7	9
1447768553185	1447768551910	6	10
1447769605081	1447769602643	6	10
1447769610583	1447769609248	5	11
1447769709921	1447769708582	4	12
1447772283250	1447772281753	3	13
1447773848928	1447773847959	2	14
1447774147009	1447774145319	3	13
1447775098504	1447775097455	3	14
1447775159408	1447775158360	6	11
1447775183824	1447775182128	7	10
1447775596068	1447775593919	7	10
1447775599384	1447775598200	6	11
1447779065384	1447779064120	5	12
1447779375270	1447779373991	4	13
1447779677274	1447779675255	5	12
1447783138874	1447783136676	6	11
1447784731688	1447784729414	7	10
1447785594577	1447785592610	6	11
1447786516703	1447786514335	7	10
1447788385458	1447788385319	6	11
1447791208020	1447791207678	5	12
1447791886226	1447791885167	6	11
1447792590621	1447792589554	7	10
1447793520446	1447793520005	6	11
1447793615266	1447793614833	5	12
1447793722369	1447793721293	6	11
1447794448481	1447794447302	7	10
1447795289513	1447795288139	8	9
1447798597487	1447798596727	7	10
1447799406340	1447799404885	8	9
1447800056140	1447800054443	9	8
1447802043728	1447802042793	10	7
1447803179421	1447803177765	11	6
1447803355096	1447803353505	12	5
1447804997329	1447804995454	13	4
1447806311002	1447806309156	14	3
1447807842160	1447807839975	14	3
1447809952387	1447809950785	15	2
1447810019965	1447810195815	14	3
1447819805132	1447819804226	13	4
1447825792196	1447825790357	14	3
1447851936795	1447851935412	13	4
1447852441458	1447852438723	13	4
1447852455727	1447852454007	12	5
1447853894466	1447853892259	13	4
1447854550057	1447854548474	12	5
1447854617192	1447854615340	10	7
1447854805013	1447854803464	9	8
1447854926684	1447854924032	9	8
1447854933796	1447854932235	8	9
1447855538637	1447855536874	7	10
1447855935969	1447855933113	6	11
1447856404126	1447856395826	5	12
1447856617009	1447856594731	5	12
1447857397123	1447857396602	4	13
1447861926599	1447861926127	3	14
1447863471560	1447863470976	2	15
1447864415969	1447864414609	3	14
1447866473850	1447866472403	4	13
1447866537604	1447866536033	7	10
1447866600223	1447866598685	10	7
1447866609991	1447866608072	11	6
1447868157380	1447868156515	10	7
1447868249490	1447868247949	11	6
1447868518564	1447868517687	10	7
1447872237487	1447872236304	11	6
1447874810551	1447874809916	10	7
1447876075674	1447876074140	11	6
1447877573754	1447877572956	10	7
1447878902197	1447878901304	9	8
1447884315666	1447884313714	10	7
1447885072067	1447885070089	12	5
1447886988177	1447886987811	11	6
1447887259316	1447887258777	10	7
1447889058776	1447889057588	11	6
1447890547272	1447890545975	12	5
1447895322133	1447895320568	13	4
1447900606385	1447900605291	14	3
1447901726048	1447901724984	15	2
1447941003255	1447941002547	14	3
1447941196691	1447941195661	13	4
1447942014179	1447942013398	12	5
1447942224559	1447942223788	10	7
1447942331396	1447942330608	9	8
1447943690528	1447943688945	9	8
1447943696290	1447943695849	8	9
1447943952499	1447943952030	7	10
1447947540577	1447947539894	6	11
1447949129984	1447949129211	5	12
1447949229412	1447949228340	4	12
1447953514979	1447953513892	3	13
1447960484997	1447960483224	4	12
1447961330769	1447961329620	3	13
1447961458551	1447961456653	4	12
1447961498115	1447961496932	3	13
1447963933711	1447963931755	4	12
1447966141822	1447966139683	5	11
1447969062165	1447969059843	6	10
1447970504548	1447970502153	7	9
1447972701000	1447972700032	8	8
1447973421580	1447973421039	7	9
1447974579338	1447974578283	8	8
1447979317738	1447979316327	9	7
1447979683638	1447979682232	10	6
1447979950770	1447979950038	9	7
1447983222627	1447983221708	8	8
1447988859063	1447988856860	7	9
1447991812620	1447991811294	8	8
1447992874078	1447992872752	9	7
1448001893560	1448001890240	9	7
1448005434770	1448005433157	10	6
1448021728303	1448021726016	10	6
1448021734089	1448021733276	9	7
1448024443440	1448024442468	8	8
1448024734454	1448024732789	7	9
1448026581752	1448026580629	6	10
1448026706472	1448026704644	7	9
1448027468475	1448027467345	6	10
1448027539116	1448027537672	5	11
1448027807980	1448027806749	4	12
1448027870889	1448027869749	3	13
1448028122663	1448028121498	2	14
1448028332893	1448028331728	1	15
1448028760647	1448028759451	0	16
