LastComm	LastUpdate	N_Bikes	N_Empty
1447448617038	1447448616667	7	16
1447449572313	1447449571825	6	17
1447449868387	1447449867287	7	16
1447450203763	1447450202596	8	15
1447451449445	1447451447898	6	17
1447451457705	1447451456885	5	18
1447451876606	1447451875394	6	17
1447452030382	1447452029490	5	18
1447452467235	1447452465744	5	18
1447452579967	1447452578402	4	18
1447452620883	1447452620175	3	19
1447452718556	1447452709838	3	19
1447452744071	1447452742985	2	20
1447453023787	1447453022639	3	19
1447453033616	1447453032306	2	20
1447453180492	1447453179488	1	21
1447453538539	1447453537834	0	22
1447454105397	1447454103838	1	21
1447455829353	1447455828249	0	22
1447455980285	1447455978858	1	21
1447456013735	1447456012882	0	22
1447460371793	1447460370042	1	21
1447461849898	1447461848850	0	22
1447483325486	1447483321286	0	22
1447508128629	1447508121405	1	21
1447512425922	1447512424192	2	20
1447512923316	1447512921520	3	19
1447515560357	1447515559041	2	20
1447518212756	1447518210570	3	19
