LastComm	LastUpdate	N_Bikes	N_Empty
1447448949693	1447448103518	11	12
1447449968407	1447449967294	10	13
1447451363183	1447451361338	11	12
1447452452534	1447452451256	10	13
1447452715844	1447452713299	10	13
1447452726987	1447452724595	9	14
1447453675720	1447453673467	10	13
1447453804381	1447453798668	11	12
1447454202453	1447454201064	10	13
1447455923703	1447455922291	11	12
1447457926594	1447457924942	12	11
1447463483432	1447463481686	13	10
1447465654085	1447465651931	14	9
1447467501043	1447467498954	15	8
1447477718036	1447477715779	16	7
1447483323017	1447483318060	16	7
