LastComm	LastUpdate	N_Bikes	N_Empty
1447449024724	1447448178067	7	4
1447451587175	1447451586207	8	3
1447451822057	1447451821027	9	2
1447452817837	1447452816918	10	1
1447453280420	1447453280066	9	2
1447453526374	1447453525988	10	1
1447458008979	1447458007366	11	0
1447462823732	1447462821797	11	0
1447462835208	1447462833957	10	1
1447469742283	1447469740263	11	0
1447472455565	1447472454143	10	1
1447473806721	1447473804579	11	0
1447483323679	1447483320885	11	0
1447514908711	1447514906509	9	2
1447514989102	1447514986834	8	3
1447514996503	1447514995062	7	4
1447515057032	1447515055605	5	6
1447517774119	1447517764831	5	6
1447517805118	1447517803237	4	7
