LastComm	LastUpdate	N_Bikes	N_Empty
1447721440265	1447720036543	12	2
1447723143538	1447723142418	13	1
1447723268619	1447723267574	12	2
1447724000011	1447723998288	13	1
1447724374621	1447724372638	14	0
1447727116752	1447727115484	13	1
1447727173944	1447727171989	14	0
1447734054904	1447734053624	13	1
1447762524521	1447762459033	13	1
1447762585615	1447762584854	13	1
1447764673302	1447764671697	12	2
1447765150863	1447765149926	11	3
1447765305200	1447765303865	10	4
1447765419493	1447765418529	9	5
1447766388923	1447766387998	8	6
1447766611135	1447766609531	9	5
1447766839101	1447766838155	8	6
1447767666861	1447767665852	7	7
1447768157448	1447768156382	6	8
1447768598262	1447768597201	5	9
1447772709632	1447772708232	4	10
1447775742697	1447775741219	3	11
1447779577537	1447779575632	4	10
1447785001048	1447784998961	5	9
1447785591254	1447785589759	4	10
1447786305199	1447786303746	3	11
1447788114694	1447788113143	2	12
1447791536981	1447791536092	3	11
1447795368335	1447795367181	4	10
1447795971716	1447795970551	5	9
1447796022708	1447796021613	6	8
1447796444794	1447796444285	5	9
1447797594324	1447797592831	6	8
1447797928029	1447797926632	7	7
1447798211577	1447798210956	6	8
1447798293074	1447798291782	7	7
1447798417209	1447798415943	8	6
1447798701290	1447798700659	7	7
1447798828156	1447798826801	9	5
1447799910621	1447799909904	10	4
1447801888268	1447801886831	11	3
1447806138442	1447806138082	10	4
1447810562978	1447810561718	11	3
1447812800224	1447812798938	12	2
1447814923932	1447814922448	13	1
1447815010188	1447815008678	14	0
1447816395065	1447816394122	13	1
1447818757641	1447818756357	12	2
1447843659301	1447843657752	13	1
1447846849281	1447846847404	12	2
1447846935206	1447846933604	11	2
1447850974573	1447850973427	10	3
1447851781882	1447851779836	10	3
1447851787622	1447851786680	9	4
1447851956716	1447851955850	8	5
1447853046352	1447853044218	8	5
1447853055002	1447853054054	7	6
1447853596020	1447853595051	6	7
1447854257044	1447854254886	6	7
1447854265423	1447854264111	5	8
1447854562874	1447854560796	5	8
1447854565956	1447854564929	4	9
1447854740019	1447854738972	3	10
1447855129539	1447855128472	2	11
1447855263831	1447855262467	1	12
1447856074988	1447856073161	1	12
1447856095345	1447856093501	0	12
1447859077447	1447859075829	2	11
1447859136093	1447859134789	3	11
1447859217625	1447859215659	4	9
1447859278010	1447859276000	6	7
1447859317748	1447859315614	6	8
1447867849961	1447867848567	5	9
1447869995307	1447869993019	6	8
1447870131365	1447870129350	7	7
1447875714659	1447875712117	8	6
1447876275471	1447876273490	7	7
1447877578813	1447877576902	6	8
1447878095512	1447878093585	5	9
1447881385114	1447881383619	6	8
1447882497851	1447882497042	5	9
1447883137371	1447883135818	6	8
1447883394025	1447883392247	7	7
1447884608430	1447884607457	8	6
1447884708802	1447884707268	9	5
1447885856656	1447885855411	9	4
1447886298416	1447886296788	10	3
1447887284904	1447887283137	11	2
1447887517603	1447887515708	12	1
1447888007196	1447888005467	13	0
1447890327965	1447890325748	13	0
1447890331313	1447890330039	12	1
1447890669483	1447890668193	11	2
1447891029564	1447891028258	10	3
1447891495257	1447891493178	11	2
1447892355806	1447892354084	10	3
1447893685658	1447893684258	11	2
1447899714806	1447899713735	10	3
1447900873337	1447900872188	9	4
1447901520185	1447901518268	10	3
1447915477594	1447915462243	10	3
1447933613247	1447933612422	9	4
1447938118314	1447938117343	8	5
1447938845847	1447938843912	8	5
1447938867439	1447938866202	7	6
1447939537925	1447939536947	6	7
1447939808369	1447939807382	5	8
1447939936257	1447939935261	4	9
1447940288298	1447940286326	4	9
1447940306883	1447940305282	3	10
1447940543536	1447940542382	2	11
1447940910246	1447940908586	3	10
1447941280309	1447941279232	2	11
1447942199907	1447942198772	1	12
1447949299515	1447949297364	0	13
1447955482264	1447955481145	1	12
1447955540717	1447955539680	3	10
1447955571462	1447955570431	4	9
1447955612372	1447955611286	5	8
1447957159160	1447957157976	6	7
1447960082644	1447960081276	7	6
1447961230368	1447961229590	6	7
1447962544757	1447962543905	5	8
1447964543526	1447964536868	6	7
1447965051109	1447965049315	7	6
1447966441533	1447966439750	7	6
1447966452072	1447966449423	6	7
1447967007242	1447967004426	7	6
1447967988817	1447967987396	8	5
1447968392481	1447968390867	9	4
1447971037701	1447971036127	10	3
1447971982816	1447971981066	11	2
1447972026330	1447972024536	12	1
1447972085493	1447972084481	11	2
1447972913626	1447972912554	10	3
1447973911040	1447973909287	11	2
1447975368612	1447975367394	10	3
1447981032509	1447981031308	11	2
1447983295691	1447983294378	12	1
1447987705706	1447987704768	11	2
1447988720503	1447988719526	10	3
1447990801303	1447990799438	11	2
1447997592983	1447997592324	10	3
1448019802845	1448019801784	9	4
1448019884736	1448019883663	8	5
1448021687306	1448021685828	7	6
1448022882837	1448022880049	7	6
1448022888681	1448022887424	6	7
1448024505656	1448024504904	5	8
1448025143610	1448025142822	4	9
1448025406793	1448025405367	5	8
1448025790752	1448025788457	5	8
1448025798828	1448025798003	4	9
1448026500621	1448026499743	3	10
1448027081789	1448027080885	2	11
1448027391529	1448027389808	3	10
1448027712121	1448027710864	2	11
1448027961456	1448027960491	1	12
1448028534476	1448028533179	0	13
1448034179778	1448034177721	2	11
1448034213157	1448034211132	3	10
1448034245845	1448034243796	4	9
1448036617064	1448036615585	3	10
1448036733516	1448036711478	3	10
1448036833459	1448036826982	2	11
1448039988557	1448039987430	1	12
1448041161273	1448041140916	2	11
1448041819789	1448041818249	2	11
1448042542898	1448042541017	3	10
1448042879445	1448042877287	4	9
1448043358773	1448043357449	3	10
1448043768731	1448043767373	2	11
1448044455044	1448044452968	3	10
1448045728292	1448045726716	2	11
1448049361523	1448049359834	1	12
1448054124776	1448054123808	0	13
1448055808715	1448055807350	1	12
1448055880244	1448055878830	2	11
1448057344740	1448057343148	3	10
1448057424062	1448057422528	4	9
1448057651537	1448057650019	5	8
1448058390454	1448058388849	7	6
1448060251248	1448060250221	6	7
1448060371815	1448060370769	7	6
1448061432486	1448061430769	8	5
1448062714898	1448062712999	9	4
1448062892624	1448062891109	8	5
1448065794462	1448065792369	9	4
1448066251635	1448066249436	10	3
1448066871572	1448066870704	11	2
1448067002306	1448067002160	10	3
1448070498632	1448070497593	11	2
1448073514251	1448073513034	12	1
1448074351669	1448074351078	11	2
1448075007035	1448075006083	10	3
1448076053190	1448076052507	9	4
1448082609224	1448082607676	10	3
1448088337161	1448088319378	10	3
1448088470353	1448088469148	9	4
1448089448020	1448089446774	8	5
1448092078046	1448092076004	7	6
1448115352026	1448115350716	7	5
1448126876987	1448126875190	8	4
1448137094342	1448137091818	9	3
1448137236444	1448137234726	8	4
1448138577704	1448138575920	7	5
1448140304244	1448140302547	8	4
1448144110243	1448144108891	7	5
1448145846480	1448145844375	8	4
1448151744489	1448151741956	9	3
1448152286156	1448152283677	10	2
1448157539910	1448157538095	11	1
1448157593688	1448157591785	12	0
1448165948340	1448165946851	11	1
1448175688121	1448175686938	10	2
1448185699075	1448185698100	9	3
1448208830887	1448208829672	9	4
1448208887871	1448208886737	9	5
1448212697916	1448212696458	10	4
1448214221297	1448214220373	9	5
