LastComm	LastUpdate	N_Bikes	N_Empty
1447721789365	1447719254329	10	9
1447725088779	1447725086830	11	8
1447725288715	1447725286859	12	7
1447732083416	1447732081059	13	6
1447734050063	1447734048345	14	5
1447742608101	1447742603977	14	5
1447754267451	1447754266346	13	6
1447760488453	1447760486506	12	7
1447764337699	1447764335249	12	7
1447764342691	1447764341566	11	8
1447764899665	1447764898496	10	9
1447766011846	1447766009917	11	8
1447767300322	1447767297878	11	8
1447767308597	1447767307219	10	9
1447768194969	1447768193604	9	10
1447768637074	1447768635011	10	9
1447769011200	1447769009784	9	10
1447769882768	1447769880593	8	11
1447773714851	1447773712955	7	12
1447779321028	1447779320448	6	13
1447787647192	1447787646042	5	14
1447790818667	1447790817305	4	15
1447792882349	1447792881067	5	14
1447795318343	1447795310710	5	14
1447795339791	1447795326167	5	14
1447796197190	1447796196171	4	15
1447798799470	1447798798523	5	14
1447798891599	1447798890286	6	13
1447799399836	1447799399233	5	14
1447799598553	1447799597277	6	13
1447801778209	1447801776255	7	12
1447802408116	1447802407257	8	11
1447802525354	1447802517178	8	11
1447802581620	1447802580819	7	12
1447806307794	1447806306485	8	11
1447808619849	1447808618656	9	10
1447810363043	1447810362405	8	11
1447812064094	1447812062895	9	10
1447816425812	1447816423997	10	9
1447819085598	1447819084208	11	8
1447819821823	1447819819937	12	7
1447823316310	1447823314527	13	6
1447840483070	1447840481755	12	7
1447841407268	1447841405905	11	8
1447852141421	1447852138899	11	8
1447852146581	1447852146056	10	9
1447852500585	1447852500037	9	10
1447852689655	1447852689093	8	11
1447852695983	1447852695407	9	10
1447852862213	1447852861563	8	11
1447855433845	1447855433103	7	12
1447855924950	1447855923823	6	13
1447859518227	1447859516576	7	12
1447862975556	1447862968688	7	12
1447862975556	1447862974246	6	13
1447863307426	1447863306173	5	14
1447866545015	1447866543902	4	15
1447878011395	1447878009957	3	16
1447880579911	1447880577622	3	16
1447880605280	1447880590430	3	16
1447883668899	1447883659980	3	16
1447883686877	1447883685237	2	17
1447884021665	1447884019628	3	16
1447884537051	1447884535674	2	17
1447885090975	1447885088864	3	16
1447885640844	1447885624403	2	17
1447887602888	1447887600163	3	16
1447893108005	1447893094072	3	16
1447893222145	1447893220589	3	16
1447893263616	1447893262307	2	17
1447900409736	1447900407841	3	16
1447909042668	1447909042166	2	17
1447913549596	1447913548080	3	16
1447915465576	1447915462031	3	16
1447927835219	1447927834372	2	17
1447937563274	1447937548928	2	17
1447937940751	1447937926818	2	17
1447939278691	1447939276844	3	16
1447942840954	1447942839155	2	17
1447944517277	1447944502919	2	17
1447944577133	1447944563469	2	17
1447946891772	1447946889447	3	16
1447949434967	1447949433174	2	17
1447951900926	1447951899757	3	16
1447954511887	1447954510796	2	17
1447955177118	1447955175707	3	16
1447957035828	1447957034357	4	15
1447958049091	1447958047520	5	14
1447966440647	1447966440086	4	15
1447967027677	1447967027085	3	16
1447969018214	1447969004650	3	16
1447969815332	1447969803395	2	17
1447970783119	1447970769130	2	17
1447971083203	1447971081665	3	16
1447972400386	1447972398769	4	15
1447973550859	1447973549158	5	14
1447973987445	1447973985629	6	13
1447974134407	1447974132521	7	12
1447976704742	1447976702618	8	11
1447977186051	1447977184130	9	10
1447977814719	1447977812848	10	9
1447978226784	1447978224829	11	8
1447982165300	1447982163355	12	7
1447984715997	1447984713698	12	7
1447984719399	1447984718041	11	8
1447987821120	1447987819563	12	7
1448013378441	1448013378007	11	8
1448014396724	1448014396244	10	9
1448022746181	1448022745176	9	10
1448023471261	1448023471014	8	11
1448025681562	1448025680618	9	10
1448028261047	1448028260053	8	11
1448032004094	1448032003246	7	12
