LastComm	LastUpdate	N_Bikes	N_Empty
1447721440098	1447719910008	14	0
1447725118407	1447725118425	13	1
1447725688165	1447725687438	14	0
1447763595275	1447763593559	14	0
1447763673940	1447763672258	10	2
1447763720076	1447763717547	8	4
1447763746959	1447763744597	7	5
1447763856866	1447763854921	6	6
1447765209034	1447765208247	5	7
1447765280259	1447765278210	4	8
1447765970148	1447765968385	4	8
1447765981368	1447765980409	3	9
1447766189635	1447766188142	4	8
1447766241023	1447766240377	3	9
1447766794264	1447766793581	2	10
1447767282274	1447767281110	0	12
1447767872297	1447767870889	1	11
1447769541404	1447769539552	1	11
1447770295937	1447770295026	0	12
1447770788915	1447770787921	1	11
1447772085642	1447772083715	1	11
1447772091678	1447772090655	0	12
1447773524018	1447773522216	1	11
1447777614432	1447777612261	2	10
1447779749424	1447779748374	3	9
1447780826028	1447780825729	2	10
1447782063930	1447782062590	2	10
1447782100713	1447782071322	1	11
1447783965036	1447783964340	0	12
1447788498707	1447788496943	1	11
1447796968334	1447796967253	2	10
1447799112801	1447799110962	3	9
1447799775489	1447799773636	4	8
1447799971764	1447799969693	5	7
1447800022154	1447800020163	6	6
1447801588330	1447801586252	7	5
1447801689690	1447801687633	8	4
1447801947328	1447801945325	9	3
1447802629818	1447802627832	10	2
1447806216940	1447806214216	10	2
1447806219942	1447806218347	9	3
1447809680319	1447809678865	10	2
1447812016454	1447812015107	9	3
1447816719679	1447816718400	8	4
1447829039026	1447829035199	8	4
1447850606792	1447850605507	7	5
1447852628693	1447852626454	7	5
1447852637924	1447852636188	6	6
1447853319142	1447853318005	5	7
1447853711450	1447853709641	6	6
1447853731064	1447853729537	5	7
1447853890217	1447853889048	4	8
1447853939438	1447853938221	3	9
1447854230098	1447854228123	0	12
1447855680644	1447855678661	1	11
1447856110124	1447856108484	1	11
1447856505894	1447856503850	2	10
1447857474964	1447857472892	3	9
1447859069687	1447859068156	2	10
1447860071275	1447860069055	2	10
1447860076616	1447860075044	1	11
1447860454261	1447860452641	2	10
1447866752265	1447866751641	4	8
1447867155110	1447867154112	5	7
1447868622576	1447868622179	4	8
1447870020883	1447870020400	3	9
1447873628522	1447873627194	4	8
1447877799444	1447877798517	4	9
1447877856727	1447877855803	3	10
1447877909013	1447877907385	4	10
1447877980197	1447877978519	6	8
1447878020026	1447878018816	8	7
1447880353265	1447880351845	9	6
1447883373592	1447883372635	10	5
1447885654436	1447885652637	11	4
1447886178949	1447886177466	12	3
1447886837370	1447886835605	13	2
1447887966618	1447887965383	12	3
1447889136929	1447889135295	11	4
1447891348369	1447891346207	12	3
1447891847484	1447891846056	11	4
1447892984712	1447892982867	9	6
1447894765652	1447894764603	10	5
1447901618702	1447901616895	12	3
1447933201922	1447933200656	13	2
1447939208002	1447939207448	12	3
1447939455152	1447939453346	12	3
1447939459376	1447939458848	11	4
1447939575635	1447939574035	11	4
1447939579855	1447939579317	10	5
1447939780129	1447939779578	9	6
1447939853454	1447939852897	8	7
1447939929521	1447939928282	9	6
1447940713850	1447940712949	8	7
1447941173326	1447941172688	7	8
1447941553451	1447941552789	6	9
1447942300423	1447942299073	7	8
1447942535253	1447942534517	6	9
1447943261981	1447943260493	7	8
1447946314156	1447946312464	8	7
1447947467641	1447947466567	7	8
1447947953647	1447947951902	8	7
1447948629561	1447948628447	7	8
1447951274201	1447951272881	6	9
1447953073800	1447953072837	7	8
1447955117084	1447955116057	8	7
1447955471629	1447955471188	7	8
1447957089066	1447957087787	8	7
1447957811963	1447957810682	9	6
1447958636322	1447958634982	9	6
1447958644022	1447958643383	8	7
1447959869742	1447959869008	9	6
1447961900258	1447961898768	10	5
1447962389225	1447962387620	10	5
1447962392585	1447962391757	9	6
1447963862894	1447963861960	8	7
1447965728822	1447965727026	9	6
1447967470185	1447967468597	10	5
1447968818709	1447968817759	9	6
1447970098171	1447970096804	11	4
1447970240906	1447970239285	12	3
1447970303515	1447970302526	11	4
1447972076422	1447972075279	10	5
1447972368512	1447972366897	12	3
1447972374972	1447972373780	11	4
1447972818688	1447972816713	12	3
1447973028378	1447973026415	13	2
1447973763552	1447973761664	14	1
1447974090665	1447974089418	13	2
1447976368001	1447976365881	14	1
1447976968873	1447976967466	12	3
1447983271547	1447983270932	13	2
1447983535735	1447983535520	12	3
1447985276233	1447985275868	11	4
1447993067520	1447993066023	12	3
1447996512253	1447996510987	13	2
1448001894898	1448001891360	13	2
1448018220322	1448018218872	12	3
1448022928095	1448022926339	11	4
1448025607618	1448025606820	10	5
1448025707053	1448025705981	9	6
1448025894859	1448025893022	8	7
1448026765551	1448026763618	8	7
1448026778196	1448026776737	7	8
1448026932200	1448026931328	6	9
1448027937381	1448027936458	5	10
1448028190970	1448028189678	4	11
1448028674527	1448028672843	5	10
1448028782947	1448028781739	4	11
1448029047847	1448029046232	5	10
1448029095526	1448029094488	4	11
1448029799632	1448029797873	5	10
1448032167625	1448032165416	5	10
1448032171701	1448032170505	4	11
