LastComm	LastUpdate	N_Bikes	N_Empty
1447721936491	1447720577759	1	9
1447739830569	1447739830162	0	10
1447742607276	1447742604676	0	10
1447758011513	1447758009587	1	9
1447759121278	1447759119514	2	8
1447760707872	1447760705947	3	7
1447761522177	1447761520214	4	6
1447761656309	1447761654405	5	5
1447763147708	1447763145685	6	4
1447764444075	1447764441947	7	3
1447765240503	1447765238253	8	2
1447766624349	1447766622759	10	0
1447766819871	1447766817647	7	3
1447766856820	1447766855274	6	5
1447766914119	1447766912412	4	7
1447766987882	1447766985605	3	8
1447768909573	1447768908493	4	7
1447769678345	1447769676913	5	6
1447769993690	1447769991915	6	5
1447770867033	1447770865860	5	6
1447774235525	1447774233543	6	5
1447775680025	1447775678488	6	4
1447780049742	1447780048021	5	5
1447781123608	1447781121780	4	6
1447782795843	1447782794544	5	5
1447783967457	1447783966174	6	4
1447784713664	1447784712054	7	3
1447787032344	1447787031503	8	2
1447787346968	1447787345841	7	3
1447788820516	1447788818843	8	2
1447790361312	1447790359573	9	1
1447793275428	1447793274197	8	2
1447794570520	1447794569051	7	3
1447794964179	1447794962842	6	4
1447795039571	1447795038230	5	5
1447798240232	1447798239701	4	6
1447798446275	1447798445779	3	7
1447800387756	1447800387097	2	8
1447802765474	1447802764722	1	9
1447804340666	1447804299200	0	10
1447843500881	1447843499644	1	9
1447847411885	1447847410319	2	8
1447851045778	1447851044044	3	7
1447851753924	1447851752167	4	6
1447853049187	1447853047334	5	5
1447853089887	1447853088759	4	6
1447853329450	1447853327605	5	5
1447853717223	1447853715364	6	4
1447853722363	1447853721141	5	4
1447853957132	1447853955195	6	3
1447854112561	1447854110935	6	3
1447854756656	1447854754744	7	2
1447854816424	1447854814487	8	1
1447854959665	1447854957704	9	0
1447857380788	1447857378466	9	0
1447858166228	1447858164549	8	1
1447858254152	1447858252487	7	3
1447858287069	1447858285394	6	4
1447858352122	1447858350461	4	6
1447858380864	1447858379868	4	7
1447858445365	1447858443650	5	6
1447861101726	1447861099917	6	5
1447861164304	1447861162444	7	4
1447862551228	1447862549344	8	3
1447862672120	1447862670128	9	2
1447863869222	1447863867226	10	1
1447863940737	1447863938279	10	1
1447863944807	1447863943451	9	2
1447864058246	1447864056926	8	3
1447865887398	1447865885554	9	2
1447866058249	1447866056746	10	1
1447867811781	1447867810193	9	2
1447868550353	1447868547932	10	1
1447870204239	1447870203820	9	2
1447875296679	1447875295334	10	1
1447876466513	1447876465045	11	0
1447881024317	1447881023103	10	1
1447882480394	1447882479303	9	2
