LastComm	LastUpdate	N_Bikes	N_Empty
1447721353068	1447717066466	19	18
1447722228574	1447722227038	18	19
1447722429063	1447722427456	17	20
1447723529897	1447723528773	16	21
1447725224683	1447725223596	17	20
1447726176418	1447726174420	19	18
1447726902476	1447726898075	20	17
1447732443301	1447732441185	21	16
1447763430178	1447763427900	20	17
1447763436708	1447763435677	19	18
1447763712710	1447763711277	18	19
1447764095306	1447764094226	17	20
1447764107434	1447764105794	16	21
1447764209238	1447764207590	17	20
1447764501126	1447764499548	18	19
1447764599491	1447764598385	17	20
1447764701084	1447764699548	18	19
1447765216169	1447765214468	19	18
1447765475123	1447765473478	20	17
1447765938079	1447765936497	19	18
1447766681788	1447766680446	18	19
1447766713526	1447766709507	19	18
1447767408474	1447767407430	20	17
1447767611777	1447767610710	21	16
1447768206038	1447768205256	20	17
1447768331877	1447768330559	21	16
1447768505017	1447768503969	22	15
1447768576128	1447768575597	21	16
1447768718613	1447768717241	22	15
1447768796613	1447768795219	23	14
1447770053558	1447770052439	24	13
1447771089031	1447771087829	25	12
1447773724394	1447773723270	26	11
1447775191824	1447775190978	25	12
1447781189273	1447781163309	26	11
1447782837064	1447782836532	25	12
1447785049641	1447785048795	24	13
1447787529207	1447787527519	25	12
1447787971762	1447787970257	26	11
1447790635063	1447790633502	24	13
1447790723629	1447790721784	21	16
1447790776588	1447790775203	18	19
1447790831712	1447790830346	16	21
1447790899396	1447790898182	14	23
1447790953018	1447790951971	12	25
1447791185471	1447791183587	11	26
1447793008124	1447793005645	11	26
1447793234133	1447793230677	12	25
1447794354932	1447794351389	13	24
1447794676936	1447794675581	12	25
1447795014794	1447795012909	13	24
1447795106398	1447795104159	14	23
1447795195555	1447795193568	15	22
1447795301118	1447795299091	17	20
1447795745076	1447795716259	18	19
1447796056184	1447796054677	19	18
1447796394229	1447796392197	20	17
1447796693055	1447796691457	21	16
1447796885093	1447796883297	22	15
1447796945680	1447796944574	21	16
1447796985649	1447796984019	22	15
1447797054034	1447797052666	22	15
1447797582753	1447797581356	21	16
1447798331269	1447798329269	21	16
1447798452816	1447798451066	21	16
1447798606301	1447798604104	22	15
1447799070016	1447799068794	21	16
1447800023310	1447800021397	22	15
1447800899413	1447800897738	23	14
1447801114549	1447801113325	22	15
1447802544280	1447802542663	21	16
1447807196565	1447807194637	22	15
1447808696468	1447808693718	22	15
1447808706088	1447808704046	21	16
1447808896967	1447808894899	22	15
1447812329291	1447812327949	23	14
1447812527326	1447812526285	22	15
1447813037838	1447813036428	23	14
1447824601255	1447824599530	25	12
1447825708575	1447825707400	26	11
1447829039688	1447829034482	26	11
1447834410433	1447834408998	27	10
1447848323716	1447848321663	28	9
1447850388606	1447850385310	28	9
1447850393723	1447850392177	27	10
1447850495257	1447850493049	28	9
1447850853357	1447850851746	27	10
1447851537489	1447851535199	28	9
1447851878924	1447851876618	29	8
1447852499844	1447852498160	27	10
1447852716435	1447852714747	26	11
1447852781420	1447852779565	25	12
1447853234358	1447853232282	24	13
1447853658077	1447853640067	22	15
1447853694545	1447853693355	21	16
1447854236010	1447854235314	20	17
1447854394733	1447854393146	21	16
1447854584137	1447854583183	20	17
1447854902292	1447854900844	21	16
1447854977299	1447854975907	21	16
1447855045422	1447855044664	20	17
1447855191889	1447855190578	21	16
1447855521778	1447855520954	20	17
1447855548027	1447855547228	19	18
1447855602331	1447855601495	18	19
1447855755493	1447855754054	17	20
1447855968248	1447855967391	16	21
1447856136789	1447856135907	15	22
1447856855576	1447856854377	16	21
1447857126086	1447857125579	15	22
1447857573172	1447857571858	16	21
1447858340098	1447858338426	17	20
1447858692656	1447858691217	18	19
1447869920168	1447869918606	17	20
1447873505305	1447873503407	18	19
1447875847873	1447875835821	17	20
1447876090901	1447876089365	16	21
1447876988081	1447876985814	18	19
1447878070655	1447878067163	19	18
1447879868370	1447879865891	20	17
1447880125341	1447880122542	21	16
1447880169971	1447880167212	22	15
1447880716924	1447880714635	21	16
1447881551599	1447881548661	22	15
1447881668269	1447881664242	23	14
1447881699828	1447881696791	24	13
1447882009428	1447882006347	25	12
1447883299717	1447883297000	26	11
1447883397132	1447883394159	27	10
1447883523857	1447883520880	28	9
1447883838234	1447883834291	29	8
