LastComm	LastUpdate	N_Bikes	N_Empty
1447722040013	1447719358164	6	2
1447722321930	1447722320727	8	0
1447722613059	1447722612151	7	1
1447724333740	1447724332674	6	2
1447726271140	1447726262518	6	2
1447726314824	1447726313421	6	2
1447727917775	1447727916557	7	1
1447729473719	1447729472424	6	2
1447742608199	1447742604959	6	2
1447754849636	1447754848862	5	3
1447764852191	1447764851344	6	2
1447765122073	1447765121932	5	3
1447765655367	1447765655188	4	4
1447766433085	1447766432099	5	3
1447767170435	1447767169513	6	2
1447767410277	1447767409670	5	3
1447768602515	1447768601780	5	3
1447769026341	1447769025253	6	2
1447769580008	1447769578883	7	1
1447770264410	1447770263939	6	2
1447770552415	1447770551589	5	3
1447771275144	1447771273933	6	2
1447774772456	1447774771720	5	3
1447775945381	1447775943934	6	2
1447776012638	1447776011808	6	2
1447777306330	1447777304753	7	1
1447779883862	1447779882287	8	0
1447780955919	1447780954965	7	1
1447782059278	1447782058251	8	0
1447784499240	1447784498079	8	2
1447784580782	1447784579599	8	3
1447784665087	1447784663656	4	7
1447795318799	1447795317228	4	7
1447795332696	1447795331754	3	8
1447795502264	1447795500866	4	7
1447796872657	1447796871236	5	6
1447797182642	1447797181730	4	7
1447798497328	1447798495887	5	6
1447798790026	1447798788527	6	5
1447799517431	1447799515901	7	4
1447799748295	1447799746717	8	3
1447799976695	1447799975831	7	4
1447800146524	1447800144928	6	5
1447800176134	1447800175253	5	6
1447800295982	1447800295095	4	7
1447800594526	1447800592797	5	6
1447801403856	1447801402885	6	5
1447802027092	1447802026085	5	6
1447803670474	1447803668461	5	6
1447803694047	1447803692621	4	7
1447805336749	1447805335542	3	8
1447807521872	1447807519937	4	7
1447807849099	1447807846757	4	7
1447807864434	1447807862417	3	8
1447808062931	1447808039382	2	9
1447808095232	1447808093718	3	8
1447808209875	1447808208319	4	7
1447809042043	1447809041088	5	5
1447809119288	1447809117486	5	6
1447809395044	1447809393439	6	5
1447809708824	1447809707733	5	6
1447810240029	1447810238994	4	7
1447815992797	1447815991374	3	8
1447820375438	1447820373128	4	7
1447842037317	1447842033179	4	7
1447842042924	1447842042095	3	8
1447847726837	1447847724383	3	8
1447847766589	1447847728710	2	9
1447849570181	1447849568165	3	8
1447849645219	1447849643314	5	6
1447849686219	1447849684171	6	5
1447850686287	1447850684237	7	4
1447851900146	1447851899672	6	5
1447853572272	1447853570985	7	4
1447854050693	1447854049762	6	5
1447854280996	1447854280342	5	6
1447854349349	1447854348723	4	7
1447854574487	1447854573251	5	6
1447854696891	1447854696242	4	7
1447855266902	1447855265556	5	6
1447855541603	1447855540086	6	5
1447855815369	1447855814610	5	6
1447855994903	1447855993272	4	7
1447856086059	1447856084666	5	6
1447857045209	1447857043745	6	5
1447857126829	1447857125355	7	4
1447857328013	1447857326842	6	5
1447861979502	1447861977556	7	4
1447862915558	1447862913658	8	3
1447864232755	1447864230885	9	2
1447867076054	1447867074763	8	3
1447867692752	1447867690819	8	3
1447867698828	1447867697934	7	4
1447868276359	1447868274789	8	3
1447871371048	1447871367326	8	3
1447871550436	1447871548437	9	2
1447871760352	1447871758428	10	1
1447874253814	1447874251791	11	0
1447875798879	1447875789939	11	0
1447875809649	1447875807893	10	1
1447876269150	1447876267700	11	0
1447877255482	1447877253271	9	2
1447877301329	1447877298749	8	3
1447877376744	1447877374169	6	5
1447877381704	1447877380205	5	6
1447877381704	1447877759754	4	7
1447880996997	1447880995753	5	6
1447881188589	1447881186957	5	6
1447881192379	1447881191752	4	7
1447881270302	1447881269684	3	8
1447882647041	1447882646317	4	7
1447883547761	1447883546971	3	8
1447883808094	1447883807292	3	8
