LastComm	LastUpdate	N_Bikes	N_Empty
1447449142151	1447448296268	14	0
1447454887418	1447454886138	13	1
1447456339536	1447456337628	14	0
1447457864048	1447457862556	13	1
1447459275349	1447459273428	14	0
1447459853330	1447459851529	12	2
1447459923719	1447459921959	10	4
1447459966196	1447459964453	9	5
1447461256333	1447461245737	10	4
1447464447060	1447464445919	11	3
1447465200937	1447465199539	12	2
1447465357152	1447465356374	13	1
1447471457554	1447471456349	12	2
1447472491212	1447472489897	11	3
1447483798139	1447483797314	10	4
1447510613082	1447510611335	9	5
1447511110564	1447511108588	8	6
1447515231846	1447515229526	9	5
1447516235462	1447516233312	8	6
1447517008648	1447517006410	6	8
1447517065202	1447517062526	7	7
1447518221064	1447518218280	8	6
