LastComm	LastUpdate	N_Bikes	N_Empty
1447448586356	1447448585695	0	11
1447452178097	1447452176662	1	10
1447452224098	1447452222930	4	7
1447452258775	1447452257619	6	5
1447453006671	1447453005839	5	6
1447453798095	1447453797212	4	7
1447455125014	1447455124032	3	8
1447455384034	1447455383031	2	9
1447455689935	1447455687908	2	9
1447455693131	1447455691941	1	10
1447455819663	1447455818643	0	11
1447457152673	1447457150816	1	10
1447464139324	1447464138908	0	11
1447464998096	1447464997267	1	10
1447465457068	1447465456566	0	11
1447483321935	1447483319074	0	11
1447504043602	1447504041096	1	10
