LastComm	LastUpdate	N_Bikes	N_Empty
1447449000817	1447445901110	13	6
1447451316368	1447451314816	14	5
1447451776721	1447451775378	15	4
1447451968553	1447451967218	16	3
1447452782892	1447452781118	16	3
1447452786327	1447452785502	15	4
1447453236521	1447453235127	16	3
1447453476994	1447453476223	15	4
1447454026095	1447454024697	16	3
1447456715830	1447456713956	17	2
1447457034088	1447457032513	18	1
1447457323577	1447457321907	19	0
1447463457690	1447463457088	18	1
1447464696540	1447464695226	19	0
1447514348826	1447514347058	17	2
1447514398567	1447514397101	15	4
1447514506992	1447514505564	11	8
1447514512666	1447514511207	12	7
1447516006673	1447516004993	11	8
1447523581832	1447523581299	10	9
1447538320735	1447538320245	9	10
1447539594828	1447539593650	10	9
