LastComm	LastUpdate	N_Bikes	N_Empty
1447449240260	1447446705077	9	12
1447449554315	1447449552782	8	13
1447450953668	1447450952777	7	14
1447451747608	1447451746368	6	15
1447452108088	1447452106377	8	13
1447452206017	1447452204328	9	12
1447453489594	1447453488464	8	13
1447453631328	1447453622908	8	13
1447453672960	1447453671263	7	14
1447454529885	1447454528396	8	13
1447454923970	1447454921501	9	12
1447455438920	1447455437766	10	11
1447455528230	1447455526429	9	12
1447455628414	1447455627242	8	13
1447459170608	1447459169246	9	12
1447461334618	1447461333026	10	11
1447462223081	1447462221397	11	10
1447462380149	1447462378447	12	9
1447468253277	1447468251965	11	10
