LastComm	LastUpdate	N_Bikes	N_Empty
1447449301028	1447449300046	2	13
1447450323787	1447450322029	3	12
1447451723310	1447451721916	4	11
1447452215216	1447452214382	6	9
1447452273752	1447452272198	7	8
1447452411618	1447452410108	8	7
1447453180882	1447453180057	9	6
1447453795607	1447453794670	10	5
1447453826548	1447453826253	11	4
1447453958725	1447453957817	12	3
1447454893496	1447454892447	13	2
1447455095297	1447455094338	14	1
1447455746770	1447455745656	15	0
1447458408376	1447458407622	14	1
1447459535838	1447459534651	12	3
1447459600326	1447459599160	10	5
1447459632421	1447459631167	9	6
1447459726640	1447459725915	8	7
1447461414321	1447461413692	7	8
1447461820018	1447461818727	8	7
1447463301030	1447463299627	9	6
1447466686740	1447466685890	10	5
1447467152069	1447467151564	9	6
1447472095739	1447472095266	8	7
1447473016115	1447473014860	9	6
