LastComm	LastUpdate	N_Bikes	N_Empty
1447449317258	1447449314757	16	11
1447451938824	1447451937675	17	10
1447452057684	1447452055958	17	10
1447452062894	1447452062451	16	11
1447452163841	1447452162687	17	10
1447452188973	1447452188522	16	11
1447452594817	1447452593614	17	10
1447452626893	1447452626409	16	11
1447452826729	1447452825595	17	10
1447453475940	1447453475417	16	11
1447453563644	1447453562480	17	10
1447453699965	1447453699189	16	11
1447453891198	1447453890688	15	12
1447454041701	1447454041118	14	13
1447454359478	1447454357867	11	16
1447454401251	1447454400658	10	17
1447454458880	1447454458277	9	18
1447455170280	1447455169637	8	19
1447455236733	1447455235404	9	18
1447455490228	1447455489594	8	19
1447456766802	1447456765165	9	18
1447458435527	1447458434558	8	19
1447459175078	1447459173405	9	18
1447460066004	1447460065080	8	19
1447460906802	1447460905839	7	20
1447461422051	1447461421053	6	21
1447461709919	1447461708878	5	22
1447462459203	1447462458024	6	21
1447464455527	1447464453940	5	22
1447464922180	1447464896203	4	23
1447465775110	1447465774918	3	24
1447468125020	1447468123966	4	23
1447470106100	1447470105618	3	24
1447482916828	1447482916041	2	25
1447483323757	1447483319381	2	25
1447486045526	1447486043883	1	26
1447486516763	1447486515095	2	25
1447515037472	1447515035667	3	24
1447515645543	1447515643624	4	23
1447519648682	1447519646538	7	20
1447519689063	1447519686970	9	18
1447519770115	1447519767988	12	15
1447519892750	1447519890650	13	14
1447524067181	1447524065508	13	14
1447524071286	1447524070516	12	15
1447525110906	1447525109748	11	16
1447526835212	1447526834241	10	17
1447527237935	1447527236173	11	16
1447528476859	1447528475110	12	15
1447531890980	1447531888974	13	14
1447532031503	1447532030215	12	15
1447533077671	1447533055227	11	16
1447533192163	1447533188922	10	17
1447535436463	1447535434950	9	18
1447537801782	1447537800904	8	19
1447540221724	1447540220658	9	18
1447540328306	1447540327679	8	19
1447542889741	1447542888464	9	18
1447547300576	1447547298936	10	17
1447552087283	1447552085657	11	16
