LastComm	LastUpdate	N_Bikes	N_Empty
1447449272298	1447449271323	5	6
1447451254621	1447451253534	4	7
1447452343523	1447452341897	5	6
1447453445850	1447453444954	4	7
1447453867276	1447453866954	3	8
1447454299267	1447454298910	3	8
1447454299508	1447454299085	2	9
1447455220056	1447455218937	3	8
1447456348798	1447456348143	2	9
1447456373797	1447456372600	3	8
1447457688593	1447457687677	4	7
1447459317748	1447459317048	5	6
1447463871814	1447463870834	4	7
1447465784012	1447465782218	3	8
1447467885146	1447467884188	5	6
1447469082129	1447469080787	6	5
1447474621444	1447474619937	6	5
