LastComm	LastUpdate	N_Bikes	N_Empty
1447449253219	1447447352637	0	11
1447449563124	1447449561425	1	10
1447450496689	1447450495539	0	11
1447451493161	1447451491224	1	10
1447451547932	1447451546034	3	8
1447451607842	1447451606043	5	6
1447451776971	1447451775411	4	7
1447452028553	1447452007246	5	6
1447452145792	1447452144538	4	7
1447452644235	1447452642959	3	8
1447453294093	1447453292773	2	9
1447453798889	1447453797255	1	10
1447454183788	1447454181804	2	9
1447455960348	1447455959239	1	10
1447457078348	1447457020828	1	10
1447458391044	1447458389062	2	9
1447458879752	1447458878503	1	10
1447459017608	1447459015336	1	10
1447459073134	1447459025078	0	10
1447464812644	1447464810309	1	9
1447466304317	1447466301743	2	8
1447468019466	1447468016794	3	7
1447469823667	1447469821731	2	8
1447470476784	1447470476008	1	9
