LastComm	LastUpdate	N_Bikes	N_Empty
1447721926847	1447718943198	6	5
1447723408041	1447723407015	7	4
1447723771332	1447723770205	8	3
1447729165088	1447729163510	9	2
1447737394582	1447737393203	8	3
1447739364670	1447739363017	9	2
1447741183220	1447741181377	10	1
1447746029468	1447746027477	11	0
1447762662121	1447762661584	10	1
1447762981058	1447762980503	9	2
1447764263452	1447764262824	8	3
1447767575506	1447767574679	7	4
1447771813344	1447771811397	8	3
1447771984879	1447771983805	7	4
1447772316049	1447772314237	8	3
1447776320817	1447776319473	7	4
1447776366682	1447776364738	8	3
1447777419650	1447777418788	9	2
1447778020041	1447778018784	8	3
1447778378654	1447778377744	7	4
1447778545157	1447778543539	8	3
1447779374619	1447779372949	9	2
1447779605640	1447779604654	8	3
1447781977825	1447781975993	9	2
1447782606376	1447782604459	10	1
1447784057009	1447784055758	9	2
1447784522136	1447784520114	8	3
1447785793800	1447785791859	9	2
1447792968610	1447792967935	8	3
1447794552180	1447794551434	7	4
1447795467495	1447795465858	8	3
1447798720829	1447798719039	9	2
1447798779144	1447798778087	11	0
1447799178754	1447799177729	10	1
1447799237128	1447799235477	11	0
1447799612144	1447799611060	9	2
1447799678931	1447799644853	7	4
1447804206201	1447804204057	8	3
1447805624209	1447805622856	9	2
1447806485671	1447806484547	10	1
1447807109049	1447807107851	9	2
1447808376060	1447808375155	8	3
1447811468660	1447811467219	7	4
1447812531651	1447812530181	6	5
1447813094753	1447813093566	5	6
1447829038604	1447829035512	5	6
1447832875449	1447832874442	4	7
1447851115951	1447851101829	4	7
1447851126671	1447851125540	3	8
1447851806267	1447851805030	4	7
1447854074423	1447854073474	2	9
1447854675074	1447854673751	1	10
1447854744154	1447854743209	2	9
1447855836021	1447855835318	2	9
1447855847358	1447855846587	1	10
1447855922809	1447855921380	2	9
1447857426112	1447857425327	1	10
1447858679001	1447858671950	1	10
1447858959880	1447858958278	2	9
1447859102931	1447859101712	2	9
1447859148902	1447859147099	2	9
1447859663842	1447859662209	3	8
1447861266577	1447861265566	2	9
1447861496137	1447861495124	1	10
1447865493003	1447865491607	0	11
