LastComm	LastUpdate	N_Bikes	N_Empty
1447721822624	1447720975502	13	2
1447723180023	1447723178602	12	3
1447725264293	1447725262752	11	4
1447726575010	1447726572698	12	3
1447727312032	1447727309329	12	3
1447727316886	1447727314812	11	4
1447730172845	1447730170964	10	5
1447735819579	1447735818772	9	6
1447763671185	1447763657571	9	6
1447763697830	1447763696964	8	7
1447767658458	1447767657344	7	8
1447768024598	1447768022832	8	7
1447769047524	1447769046307	7	8
1447769508011	1447769506775	6	9
1447769648709	1447769646818	7	8
1447770465465	1447770464167	6	9
1447770794778	1447770793464	5	10
1447771761476	1447771759448	6	9
1447773997326	1447773995785	5	10
1447775898032	1447775896180	5	10
1447775901128	1447775900459	4	11
1447777013690	1447777012296	5	10
1447779040353	1447779039475	4	11
1447779529498	1447779527864	5	10
1447784348283	1447784346255	6	9
1447789405213	1447789404952	5	10
1447790781269	1447790773736	5	10
1447790798652	1447790797600	4	11
1447792296764	1447792283157	4	11
1447792351573	1447792349899	3	12
1447792358859	1447792358420	2	13
1447792778160	1447792777194	2	13
1447792783046	1447792782562	1	14
1447792894630	1447792893468	2	13
1447793088016	1447793087526	1	14
1447793343968	1447793342795	2	13
1447794534246	1447794533659	1	14
1447794886942	1447794873118	1	14
1447799428211	1447799426574	2	13
1447799784304	1447799782636	3	12
1447799944552	1447799943598	2	13
1447800991652	1447800978323	2	13
1447801182441	1447801180998	6	9
1447801200587	1447801198867	7	8
1447802108921	1447802107184	8	7
1447802165483	1447802163694	9	6
1447805895795	1447805894133	10	5
1447812037879	1447812036459	9	6
1447812106108	1447812104033	10	5
1447814440555	1447814438977	8	7
1447814459946	1447814458010	7	8
1447814787843	1447814785925	6	9
1447815404443	1447815402800	5	10
1447818523071	1447818522116	6	9
1447820993232	1447820992018	7	8
1447824309140	1447824308303	6	9
1447829084761	1447829034203	6	9
1447850173955	1447850172890	5	10
1447851897398	1447851895167	5	10
1447851915892	1447851914406	4	11
1447852609521	1447852607683	5	10
1447853273063	1447853271824	4	11
1447854745212	1447854736726	4	11
1447854759494	1447854758144	3	12
1447854861325	1447854859977	2	13
1447854970272	1447854968204	3	12
1447855044320	1447855041928	3	12
1447855082613	1447855081207	2	13
1447855340597	1447855338503	3	12
1447855527571	1447855512978	3	12
1447855580922	1447855579243	2	13
1447855998554	1447855997113	4	11
1447856258986	1447856257522	5	10
1447856487883	1447856486418	4	11
1447856516484	1447856515014	3	12
1447857887803	1447857885602	4	11
1447859269445	1447859254678	4	11
1447859289407	1447859287738	3	12
1447860768510	1447860765944	4	11
1447861686777	1447861684650	3	12
1447862059249	1447862045249	3	12
1447862821822	1447862820795	4	11
1447863437810	1447863436407	5	10
1447864780759	1447864779801	4	11
1447866230201	1447866216179	4	11
1447866249073	1447866248180	3	12
1447868243841	1447868242811	2	13
1447869929987	1447869928479	7	8
1447869987327	1447869978409	7	8
1447871620135	1447871618561	6	9
1447872036390	1447872035105	5	10
1447872409794	1447872407937	5	10
1447872416953	1447872415439	4	11
1447873701538	1447873699468	5	10
1447879582767	1447879581913	4	11
1447881308329	1447881299857	4	11
1447881337148	1447881335872	3	12
1447881881546	1447881880539	2	13
1447882359065	1447882357690	3	12
1447885781685	1447885779544	4	11
1447888104938	1447888102832	5	10
1447888692764	1447888690635	6	9
1447890023842	1447890022078	5	10
1447890780011	1447890779163	4	11
1447892976360	1447892974705	5	10
1447893885998	1447893884948	4	11
1447894350546	1447894349457	5	10
1447895830730	1447895829552	4	11
1447896619379	1447896617140	4	11
1447896622494	1447896621248	3	12
1447901428220	1447901425966	4	11
1447901689427	1447901687848	3	12
1447901933005	1447901930789	3	12
1447902121907	1447902099425	4	11
1447902302913	1447902294098	4	11
1447902329309	1447902326860	4	11
1447904741223	1447904739156	3	12
1447904907869	1447904905992	2	13
1447909580085	1447909578535	3	12
1447938305599	1447938303614	3	12
1447938341587	1447938340873	2	13
1447940405302	1447940403836	3	12
1447940870599	1447940869325	2	13
1447941394915	1447941393297	3	12
1447943187583	1447943186544	2	13
1447946155962	1447946153995	3	12
1447947668563	1447947666517	4	11
1447947781387	1447947779390	5	10
1447948265956	1447948263754	4	11
1447950100212	1447950099066	3	12
1447950282756	1447950269872	3	12
1447950311017	1447950310192	2	13
1447951798091	1447951796170	3	12
1447951906734	1447951905825	2	13
1447952700564	1447952698404	2	13
1447952712724	1447952710803	2	13
1447952780077	1447952765737	2	13
1447953992226	1447953990481	3	12
1447955319592	1447955317559	4	11
1447957222126	1447957219930	5	10
1447958808445	1447958807064	4	11
1447958863330	1447958860950	5	10
1447958951022	1447958948900	6	9
1447959332634	1447959331198	5	10
1447962399971	1447962397681	6	9
1447966507171	1447966506620	5	10
1447967339176	1447967337885	7	8
1447967441475	1447967440469	5	10
1447967788561	1447967787760	4	11
1447968188206	1447968187540	3	12
1447969986042	1447969984605	4	11
1447970108114	1447970107140	3	12
1447970447762	1447970446941	2	13
1447970733001	1447970731516	3	12
1447970951000	1447970949545	4	11
1447971483213	1447971482318	3	12
1447972052474	1447972050805	4	11
1447973318590	1447973317531	3	12
1447975792045	1447975790195	4	11
1447975868517	1447975867329	3	12
1447977255202	1447977253922	2	13
1447978508283	1447978506307	3	12
1447980073168	1447980071661	2	13
1447981372026	1447981369894	3	12
1447982728543	1447982727143	2	13
1447984579017	1447984576785	3	12
1447986910705	1447986908344	4	11
1447988337731	1447988335953	3	12
1447989445743	1447989443874	4	11
1447991107537	1447991105195	5	10
1447993185764	1447993183978	5	10
1447993207193	1447993206029	4	11
1447999385310	1447999384091	3	12
1448001893266	1448001889506	3	12
1448024938387	1448024937430	4	11
1448026304405	1448026303359	3	12
1448027766645	1448027765512	2	13
1448027916178	1448027902286	2	13
1448027938962	1448027937431	1	14
1448028546976	1448028544904	2	13
1448028811043	1448028809160	3	12
1448029067699	1448029065371	3	12
1448029073479	1448029072219	2	13
1448029677533	1448029676266	1	14
1448030622694	1448030621026	0	15
1448030654430	1448030652459	1	14
1448030828156	1448030826467	0	15
1448035441416	1448035402106	1	14
1448039522824	1448039521296	2	13
1448040837662	1448040835896	3	12
1448044506532	1448044504654	4	11
1448045876791	1448045875499	3	12
1448053133583	1448053132109	6	9
1448053923728	1448053922820	5	10
1448054930277	1448054928682	6	9
1448055471653	1448055470035	6	8
1448057717500	1448057716411	5	9
1448058810444	1448058808970	4	10
1448060098454	1448060096344	5	9
1448061833740	1448061831776	6	8
1448063249882	1448063248420	5	9
1448063599727	1448063597434	6	8
1448064222982	1448064220839	7	7
1448064978027	1448064976262	8	6
1448065595084	1448065593212	9	5
1448066877464	1448066867863	10	4
1448066887448	1448066885874	11	3
1448067285058	1448067283454	10	4
1448068393128	1448068391757	9	5
1448071464619	1448071452999	8	6
1448076767977	1448076765342	9	5
1448077216694	1448077213754	9	5
1448077245600	1448077243666	8	6
1448078823155	1448078820474	9	5
1448083132433	1448083131029	9	5
1448083365610	1448083363460	10	4
1448083854660	1448083852683	11	3
1448086394379	1448086392890	10	4
1448093911564	1448093910392	11	3
1448101989468	1448101987779	10	4
1448109882697	1448109881584	9	5
1448114053144	1448114051741	8	6
1448116680445	1448116678266	9	5
1448117825700	1448117824041	8	6
1448117895751	1448117894110	7	7
1448124627568	1448124625985	8	6
1448125301354	1448125300408	7	7
1448126316992	1448126315185	8	6
1448128475185	1448128473089	8	6
1448128488577	1448128487053	7	7
1448128884588	1448128882776	8	6
1448128915265	1448128914076	7	7
1448130608276	1448130606316	8	6
1448133420535	1448133418146	7	7
1448134273395	1448134271253	6	8
1448134496057	1448134493835	7	7
1448138097965	1448138097030	6	8
1448138179898	1448138178988	7	7
1448139186899	1448139185676	7	7
1448139192620	1448139192297	6	8
1448140426339	1448140425928	5	9
1448145657953	1448145657209	4	10
1448145681059	1448145680175	3	11
1448146215904	1448146214752	4	10
1448146428313	1448146426670	5	10
1448150278379	1448150276702	6	9
1448152508274	1448152507288	7	8
1448155204010	1448155202807	8	7
1448157078054	1448157077405	7	8
1448162308916	1448162307237	8	7
1448162374525	1448162372867	9	6
1448174742599	1448174739478	9	6
1448181042791	1448181041651	8	7
1448202243137	1448202242417	7	8
1448205744012	1448205742266	8	7
1448212974525	1448212973348	7	8
1448216354621	1448216353224	6	9
1448221030199	1448221027758	7	8
1448221091210	1448221088503	7	8
1448221105804	1448221103750	6	9
1448224887712	1448224886226	7	8
1448228295723	1448228294633	6	9
1448232230046	1448232227701	6	9
1448232252843	1448232250921	5	10
1448235364500	1448235362127	6	9
1448237250927	1448237242010	6	9
1448237265694	1448237263683	5	10
1448238851322	1448238850509	6	9
1448242892299	1448242891858	5	10
1448250922388	1448250921413	4	11
1448253391947	1448253390130	4	11
1448253397414	1448253396620	3	12
1448254339162	1448254337668	4	11
1448272192105	1448272189388	4	11
1448272197753	1448272196471	3	12
1448280090997	1448280088958	2	13
1448286333400	1448286331961	1	14
1448286380297	1448286371539	1	14
1448287007277	1448287005604	2	13
1448287941230	1448287939383	3	12
1448288553797	1448288551834	4	11
1448288708601	1448288707298	3	12
1448296172244	1448296171189	2	13
1448299384433	1448299382806	1	14
1448299880901	1448299872534	1	14
1448299909129	1448299894958	1	14
1448300052924	1448300038655	1	14
1448303002669	1448303000742	2	13
1448303975868	1448303973925	4	11
1448304042258	1448304040205	7	8
1448304355213	1448304353885	8	7
1448307421580	1448307419991	7	8
1448308398126	1448308396550	6	9
1448311222691	1448311221228	7	8
1448311894765	1448311893253	8	7
1448312024461	1448312023320	7	8
1448313785934	1448313784363	7	8
1448314271411	1448314269833	8	7
1448314413488	1448314412504	7	8
1448317049170	1448317046877	7	8
1448317053360	1448317052217	6	9
1448318231098	1448318229878	5	10
1448318437876	1448318436024	5	10
1448319830793	1448319829140	4	11
1448319901982	1448319899895	5	10
1448320192423	1448320190394	6	9
1448327219419	1448327217534	7	8
1448327538704	1448327537480	6	9
1448330404693	1448330403280	5	10
1448331255051	1448331253258	5	10
1448331260375	1448331258910	4	11
1448338709144	1448338706543	5	10
1448347596836	1448347592135	5	10
1448370256605	1448370255338	8	7
1448370298848	1448370297549	9	6
1448370701473	1448370700205	10	5
1448371196432	1448371195800	9	6
1448371249031	1448371248303	8	7
1448372192225	1448372188397	7	8
1448372204820	1448372203796	6	9
1448375261420	1448375260520	5	10
1448376205427	1448376204457	4	11
1448377921744	1448377920671	3	12
1448379138425	1448379136758	6	9
1448379164710	1448379162818	7	8
1448383915653	1448383914836	6	9
1448388513420	1448388512470	5	10
1448388890718	1448388889740	4	11
1448392850388	1448392849146	3	12
1448395127961	1448395125657	3	12
1448395160920	1448395158925	2	13
1448399486424	1448399472458	2	13
1448399506616	1448399505585	1	14
1448401683161	1448401669141	1	14
1448403034344	1448403032474	2	13
1448403671630	1448403669944	3	12
1448404984440	1448404982694	4	11
1448405308743	1448405306984	5	10
1448405704717	1448405702853	6	9
1448406066537	1448406064653	7	8
