LastComm	LastUpdate	N_Bikes	N_Empty
1447448874583	1447448873450	19	16
1447449694162	1447449692887	19	16
1447449713138	1447449712028	18	17
1447450419262	1447450417182	18	17
1447450430317	1447450428569	17	18
1447450930492	1447450928630	16	19
1447451238491	1447451237252	15	20
1447451329006	1447451327192	16	19
1447451378567	1447451377331	15	20
1447451905603	1447451903702	16	19
1447452113699	1447452111458	16	19
1447452178626	1447452169663	15	20
1447452196973	1447452195333	14	21
1447453557786	1447453555692	15	20
1447453802863	1447453801448	13	22
1447453977825	1447453976403	12	23
1447454414796	1447454371047	11	24
1447455568758	1447455559948	11	24
1447455585140	1447455570888	11	24
1447456308021	1447456306967	12	23
1447459645887	1447459644916	11	24
1447460024566	1447460009887	11	24
1447460102814	1447460100719	11	24
1447460109896	1447460108882	10	25
1447461357628	1447461356214	9	26
1447463722405	1447463721100	10	25
1447464752345	1447464750363	11	24
