LastComm	LastUpdate	N_Bikes	N_Empty
1447449257445	1447448882019	13	12
1447450767979	1447450762620	12	13
1447451732991	1447451731865	11	14
1447453827306	1447453825428	12	13
1447455433398	1447455431230	13	12
1447458029263	1447458027789	12	13
1447459536610	1447459534897	13	12
1447459717459	1447459715854	14	11
1447459777899	1447459775750	16	9
1447459902827	1447459901222	15	10
1447460286636	1447460285000	16	9
1447460743048	1447460717733	17	8
1447468526581	1447468524835	18	7
1447491949535	1447491948645	18	7
1447514852160	1447514836554	19	6
1447515456584	1447515429954	20	5
1447516077100	1447516075660	19	6
1447516138749	1447516135617	21	5
1447516201073	1447516199305	21	5
1447516252792	1447516251388	21	5
1447516310975	1447516296274	22	4
1447516621701	1447516566758	22	3
1447516963563	1447516963389	22	3
