LastComm	LastUpdate	N_Bikes	N_Empty
1447721570699	1447720724316	7	12
1447722785597	1447722784349	8	11
1447723614772	1447723613299	7	12
1447725379236	1447725377165	8	11
1447725664751	1447725662720	7	12
1447726180238	1447726178815	6	13
1447727146674	1447727144895	5	14
1447729086533	1447729084955	4	15
1447731274977	1447731273279	3	16
1447732974864	1447732973528	2	17
1447742608216	1447742603864	2	17
1447763366759	1447763365406	3	16
1447763418909	1447763417495	4	15
1447764764024	1447764762156	4	15
1447764768404	1447764767531	3	16
1447769578285	1447769576505	4	15
1447773678250	1447773674945	5	14
1447777215340	1447777214179	6	13
1447779206342	1447779204993	5	14
1447779698779	1447779697291	6	13
1447790020959	1447790019908	7	12
1447791705747	1447791704567	8	11
1447792200129	1447792199612	7	12
1447799539737	1447799538158	7	12
1447800335903	1447800334248	8	11
1447802493250	1447802492042	7	12
1447804154793	1447804153963	6	13
1447805532682	1447805531858	5	14
1447811629806	1447811628616	3	16
1447812024486	1447812022249	3	16
1447812029226	1447812027953	2	17
1447813819472	1447813817844	1	18
1447814670739	1447814669415	0	19
1447854602068	1447854600052	2	17
1447854635525	1447854633431	3	16
1447855126047	1447855124698	2	17
1447855699831	1447855697762	3	16
1447856653731	1447856651661	4	15
1447858255563	1447858253402	5	14
1447862338517	1447862336978	6	13
1447863027698	1447863026157	7	12
1447866191140	1447866189608	9	10
1447866255422	1447866254314	8	11
1447875396376	1447875394474	7	12
1447876708811	1447876708132	6	13
1447877603841	1447877603157	5	14
1447877668854	1447877667556	6	13
1447879491856	1447879490346	7	12
1447880112605	1447880110782	7	12
1447884496893	1447884495087	8	11
1447885160417	1447885159181	10	9
1447887218763	1447887216789	11	8
1447891767650	1447891766717	12	7
1447891878429	1447891878069	11	8
1447893614318	1447893613939	10	9
1447894771569	1447894770508	11	8
1447895029204	1447895028365	10	9
1447895248895	1447895248429	9	10
1447895370768	1447895369438	10	9
1447896531543	1447896530248	11	8
1447899747260	1447899745854	10	9
1447900778019	1447900777244	9	10
1447901830601	1447901829088	10	9
1447903048755	1447903047832	9	10
1447906705036	1447906704024	7	12
1447915465407	1447915461248	7	12
1447935917001	1447935915598	8	11
1447936161985	1447936160578	9	10
1447937256710	1447937255834	8	11
1447939730720	1447939728928	9	10
1447940337271	1447940335368	10	9
1447940753330	1447940751638	11	8
1447943553246	1447943551359	12	7
1447945176798	1447945175486	11	8
1447945213834	1447945211807	12	7
1447945820490	1447945818642	11	8
1447946478241	1447946476187	12	7
1447952821311	1447952820418	14	5
1447952834650	1447952833755	13	6
1447955537737	1447955536497	14	5
1447957169532	1447957168097	15	4
1447965989873	1447965988118	16	3
1447966601762	1447966600833	15	4
1447967327487	1447967326534	14	5
1447967899750	1447967898038	15	4
1447970848663	1447970847493	14	5
1447971168632	1447971167406	13	6
1447972911655	1447972909947	12	7
1447973892050	1447973889837	13	6
1447974018406	1447974017035	12	7
1447974426761	1447974425388	11	8
1447976963217	1447976961694	10	9
1447978821331	1447978819619	11	8
1447978915310	1447978914221	10	9
1447980798381	1447980797237	9	10
1447981841707	1447981840522	8	11
1447984103387	1447984102066	7	12
1447988384260	1447988382315	6	13
1447992485371	1447992484623	5	14
1448024166951	1448024165805	6	13
1448027085193	1448027083936	7	12
1448029226706	1448029225316	8	11
1448030971814	1448030970304	9	10
1448031306566	1448031304875	10	9
1448031752871	1448031751317	11	8
1448031997615	1448031996075	12	7
