LastComm	LastUpdate	N_Bikes	N_Empty
1447448804870	1447446083096	19	0
1447449349094	1447449347047	18	1
1447449755679	1447449753967	17	2
1447449788949	1447449787188	16	3
1447449863564	1447449861876	14	5
1447449923123	1447449921386	12	7
1447449990162	1447449988393	10	9
1447450024474	1447450022768	9	10
1447450464486	1447450462497	10	9
1447450891170	1447450889156	11	8
1447450962517	1447450960517	12	7
1447451267229	1447451265150	13	6
1447451283904	1447451281816	14	5
1447451339862	1447451337947	15	4
1447451430483	1447451428305	16	3
1447451673845	1447451671135	17	2
1447452342312	1447452340202	16	3
1447452477420	1447452475302	15	4
1447452486920	1447452484705	16	3
1447452746438	1447452744351	15	4
1447453250957	1447453248922	16	3
1447453310816	1447453308304	15	4
1447453504066	1447453501806	16	3
1447453554363	1447453552075	16	3
1447454006204	1447454003998	17	2
1447454082999	1447454080598	18	1
1447454483912	1447454481686	19	0
1447455927152	1447455926673	18	1
1447456455563	1447456455302	17	2
1447458015041	1447458014626	16	3
1447458772689	1447458772240	15	4
1447459070388	1447459069906	16	3
1447460949317	1447460948703	15	4
1447461485676	1447461484957	16	3
1447461980634	1447461979697	15	4
1447464293809	1447464292966	14	5
1447465675956	1447465674978	15	4
1447470542359	1447470541102	16	3
1447471748888	1447471747509	17	2
1447472450772	1447472449309	18	1
1447480404561	1447480402280	19	0
1447483284453	1447483278580	19	0
1447483337621	1447483318937	18	1
1447506905124	1447506903708	19	0
1447518617521	1447518616241	18	1
1447518665916	1447518664860	14	5
1447518729144	1447518727719	10	9
1447522401075	1447522399459	9	10
1447522682680	1447522681228	10	9
1447523425208	1447523423694	9	10
1447526021143	1447526019277	10	9
1447532052844	1447532051188	10	9
1447532066224	1447532065341	9	10
1447532538325	1447532537383	8	11
1447532902946	1447532901941	9	10
1447534737748	1447534736606	10	9
1447535176090	1447535174861	9	10
1447537163930	1447537162551	12	7
1447537594801	1447537593314	11	8
1447542065016	1447542063271	12	7
1447543871977	1447543870884	13	6
1447545285197	1447545283575	14	5
1447551146139	1447551144405	15	4
1447553983467	1447553981511	14	5
1447554661337	1447554658793	14	5
1447554745506	1447554742597	15	4
1447554762452	1447554759992	14	4
1447557446574	1447557445323	13	5
