LastComm	LastUpdate	N_Bikes	N_Empty
1447449325183	1447449324595	4	11
1447449491439	1447449490858	3	12
1447452905182	1447452903757	4	11
1447453016818	1447453015347	5	10
1447453320595	1447453319017	6	9
1447454218077	1447454216206	7	8
1447455647494	1447455646488	8	7
1447455997801	1447455996803	7	8
1447456347540	1447456345916	8	7
1447459185221	1447459184137	9	6
1447459502125	1447459501732	8	7
1447459870125	1447459869653	7	8
1447460829975	1447460828440	7	8
1447460833298	1447460832813	6	9
1447460966280	1447460965793	5	10
1447461559535	1447461558284	6	9
1447462642940	1447462633208	6	9
1447463979831	1447463979140	5	10
1447464600420	1447464599413	4	11
1447467651411	1447467650485	3	12
